"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","trackdechets.beta.gouv.fr/185.199.108.153","443","INFO","HTTP","",""
"pre_128cipher","trackdechets.beta.gouv.fr/185.199.108.153","443","INFO","No 128 cipher limit bug","",""
"SSLv2","trackdechets.beta.gouv.fr/185.199.108.153","443","OK","not offered","",""
"SSLv3","trackdechets.beta.gouv.fr/185.199.108.153","443","OK","not offered","",""
"TLS1","trackdechets.beta.gouv.fr/185.199.108.153","443","INFO","not offered","",""
"TLS1_1","trackdechets.beta.gouv.fr/185.199.108.153","443","INFO","not offered","",""
"TLS1_2","trackdechets.beta.gouv.fr/185.199.108.153","443","OK","offered","",""
"TLS1_3","trackdechets.beta.gouv.fr/185.199.108.153","443","OK","offered with draft 28, final","",""
"ALPN_HTTP2","trackdechets.beta.gouv.fr/185.199.108.153","443","OK","h2","",""
"ALPN","trackdechets.beta.gouv.fr/185.199.108.153","443","INFO","http/1.1","",""
"cipherlist_NULL","trackdechets.beta.gouv.fr/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","trackdechets.beta.gouv.fr/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","trackdechets.beta.gouv.fr/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_LOW","trackdechets.beta.gouv.fr/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","trackdechets.beta.gouv.fr/185.199.108.153","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","trackdechets.beta.gouv.fr/185.199.108.153","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","trackdechets.beta.gouv.fr/185.199.108.153","443","OK","offered","",""
"cipherlist_STRONG","trackdechets.beta.gouv.fr/185.199.108.153","443","OK","offered","",""
"cipher_order","trackdechets.beta.gouv.fr/185.199.108.153","443","OK","server -- TLS 1.3 client determined","",""
"protocol_negotiated","trackdechets.beta.gouv.fr/185.199.108.153","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","trackdechets.beta.gouv.fr/185.199.108.153","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","trackdechets.beta.gouv.fr/185.199.108.153","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","trackdechets.beta.gouv.fr/185.199.108.153","443","OK","offered","",""
"FS_ciphers","trackdechets.beta.gouv.fr/185.199.108.153","443","INFO","","",""
"scanProblem","trackdechets.beta.gouv.fr/185.199.108.153","443","FATAL","repeated TCP connect problems, giving up","",""
