"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","transport.data.gouv.fr/185.42.117.108","443","INFO","HTTP","",""
"pre_128cipher","transport.data.gouv.fr/185.42.117.108","443","INFO","No 128 cipher limit bug","",""
"SSLv2","transport.data.gouv.fr/185.42.117.108","443","OK","not offered","",""
"SSLv3","transport.data.gouv.fr/185.42.117.108","443","OK","not offered","",""
"TLS1","transport.data.gouv.fr/185.42.117.108","443","LOW","offered (deprecated)","",""
"TLS1_1","transport.data.gouv.fr/185.42.117.108","443","LOW","offered (deprecated)","",""
"TLS1_2","transport.data.gouv.fr/185.42.117.108","443","OK","offered","",""
"TLS1_3","transport.data.gouv.fr/185.42.117.108","443","OK","offered with final","",""
"ALPN","transport.data.gouv.fr/185.42.117.108","443","INFO","not offered","",""
"cipherlist_NULL","transport.data.gouv.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","transport.data.gouv.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","transport.data.gouv.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_LOW","transport.data.gouv.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","transport.data.gouv.fr/185.42.117.108","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","transport.data.gouv.fr/185.42.117.108","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","transport.data.gouv.fr/185.42.117.108","443","OK","offered","",""
"cipherlist_STRONG","transport.data.gouv.fr/185.42.117.108","443","OK","offered","",""
"cipher_order","transport.data.gouv.fr/185.42.117.108","443","OK","server","",""
"protocol_negotiated","transport.data.gouv.fr/185.42.117.108","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","transport.data.gouv.fr/185.42.117.108","443","OK","TLS_AES_256_GCM_SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1","transport.data.gouv.fr/185.42.117.108","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_1","transport.data.gouv.fr/185.42.117.108","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_2","transport.data.gouv.fr/185.42.117.108","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","transport.data.gouv.fr/185.42.117.108","443","OK","offered","",""
"FS_ciphers","transport.data.gouv.fr/185.42.117.108","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","transport.data.gouv.fr/185.42.117.108","443","OK","prime256v1","",""
"TLS_extensions","transport.data.gouv.fr/185.42.117.108","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'max fragment length/#1' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","transport.data.gouv.fr/185.42.117.108","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","transport.data.gouv.fr/185.42.117.108","443","INFO","yes","",""
"sessionresumption_ticket","transport.data.gouv.fr/185.42.117.108","443","INFO","not supported","",""
"sessionresumption_ID","transport.data.gouv.fr/185.42.117.108","443","INFO","not supported","",""
"TLS_timestamp","transport.data.gouv.fr/185.42.117.108","443","INFO","random","",""
"clientAuth","transport.data.gouv.fr/185.42.117.108","443","INFO","none","",""
"cert_numbers","transport.data.gouv.fr/185.42.117.108","443","INFO","1","",""
"cert_signatureAlgorithm","transport.data.gouv.fr/185.42.117.108","443","OK","SHA256 with RSA","",""
"cert_keySize","transport.data.gouv.fr/185.42.117.108","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","transport.data.gouv.fr/185.42.117.108","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","transport.data.gouv.fr/185.42.117.108","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","transport.data.gouv.fr/185.42.117.108","443","INFO","04267C766470021F14D17F485CC2BCC8CA34","",""
"cert_fingerprintSHA1","transport.data.gouv.fr/185.42.117.108","443","INFO","8A35A6810CCC01B511504E7A0BA1F5FE7DD033A2","",""
"cert_fingerprintSHA256","transport.data.gouv.fr/185.42.117.108","443","INFO","30965BD5FCC10F81013BCBBFFB3D703762E38595C6D4D8880264B41FCE1CD0EF","",""
