"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","transport.data.gouv.fr/185.42.117.109","443","INFO","HTTP","",""
"pre_128cipher","transport.data.gouv.fr/185.42.117.109","443","INFO","No 128 cipher limit bug","",""
"SSLv2","transport.data.gouv.fr/185.42.117.109","443","OK","not offered","",""
"SSLv3","transport.data.gouv.fr/185.42.117.109","443","OK","not offered","",""
"TLS1","transport.data.gouv.fr/185.42.117.109","443","INFO","not offered","",""
"TLS1_1","transport.data.gouv.fr/185.42.117.109","443","INFO","not offered","",""
"TLS1_2","transport.data.gouv.fr/185.42.117.109","443","OK","offered","",""
"TLS1_3","transport.data.gouv.fr/185.42.117.109","443","OK","offered with final","",""
"ALPN","transport.data.gouv.fr/185.42.117.109","443","INFO","not offered","",""
"cipherlist_NULL","transport.data.gouv.fr/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","transport.data.gouv.fr/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","transport.data.gouv.fr/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_LOW","transport.data.gouv.fr/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","transport.data.gouv.fr/185.42.117.109","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","transport.data.gouv.fr/185.42.117.109","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","transport.data.gouv.fr/185.42.117.109","443","INFO","not offered","",""
"cipherlist_STRONG","transport.data.gouv.fr/185.42.117.109","443","OK","offered","",""
"cipher_order-tls1_2","transport.data.gouv.fr/185.42.117.109","443","OK","server","",""
"cipherorder_TLSv1_2","transport.data.gouv.fr/185.42.117.109","443","INFO","DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","transport.data.gouv.fr/185.42.117.109","443","OK","server","",""
"FS","transport.data.gouv.fr/185.42.117.109","443","OK","offered","",""
"FS_ciphers","transport.data.gouv.fr/185.42.117.109","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","transport.data.gouv.fr/185.42.117.109","443","OK","prime256v1","",""
"TLS_extensions","transport.data.gouv.fr/185.42.117.109","443","INFO","'renegotiation info/#65281' 'supported versions/#43' 'key share/#51' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","transport.data.gouv.fr/185.42.117.109","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","transport.data.gouv.fr/185.42.117.109","443","INFO","no","",""
"sessionresumption_ticket","transport.data.gouv.fr/185.42.117.109","443","INFO","not supported","",""
"sessionresumption_ID","transport.data.gouv.fr/185.42.117.109","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","transport.data.gouv.fr/185.42.117.109","443","INFO","random","",""
"certificate_compression","transport.data.gouv.fr/185.42.117.109","443","INFO","none","",""
"clientAuth","transport.data.gouv.fr/185.42.117.109","443","INFO","none","",""
"cert_numbers","transport.data.gouv.fr/185.42.117.109","443","INFO","1","",""
"cert_signatureAlgorithm","transport.data.gouv.fr/185.42.117.109","443","OK","SHA256 with RSA","",""
"cert_keySize","transport.data.gouv.fr/185.42.117.109","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","transport.data.gouv.fr/185.42.117.109","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","transport.data.gouv.fr/185.42.117.109","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","transport.data.gouv.fr/185.42.117.109","443","INFO","0308473D01C3FBFCA150093FE0EBF253FC11","",""
"cert_serialNumberLen","transport.data.gouv.fr/185.42.117.109","443","INFO","18","",""
"cert_fingerprintSHA1","transport.data.gouv.fr/185.42.117.109","443","INFO","5D9C93DE4D34610DB1ADD7D81F990248B7B5E274","",""
"cert_fingerprintSHA256","transport.data.gouv.fr/185.42.117.109","443","INFO","57A5AAD6C6601B84A8B6C30A6441CB8972C6F099845BB3D610E565A5A78E62E3","",""
"cert","transport.data.gouv.fr/185.42.117.109","443","INFO","-----BEGIN CERTIFICATE----- MIIFMzCCBBugAwIBAgISAwhHPQHD+/yhUAk/4OvyU/wRMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMjEwMTAwMTI3MjVaFw0yMzAxMDgwMTI3MjRaMCExHzAdBgNVBAMT FnRyYW5zcG9ydC5kYXRhLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAw ggEKAoIBAQCuxBSmkltr6O5WfLtxCAs/qB6H9ZB1XDnCIaYapbsAUvvSW/hMzTiC kNYgODrN9WUst1TuxiMnopI1enVGEJIbRLC0tA3zEkUFJvAcXQ//+X8JH/dlnOm7 06Zd+d8dbCE9kTNBXELCgxBl0BR8SfoSaYH46o45OLJvWknvcBUjmY0J30UG+IEC XxTI65H7wpUpF+XYORENnk+416jUlh3qWkcdmjs3q0Ogs5bZDNarA9iPbM219GnO xR3vHeyAwpei+9xnJiH9v2WY/A99h4kQ89wUrvul5WovkO2/884UK8ixTbxPgChw 3dHuowTxUQH8iSRw+cGj9FzBr+KZF1nBAgMBAAGjggJSMIICTjAOBgNVHQ8BAf8E BAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQC MAAwHQYDVR0OBBYEFHEQEuWYIm6Rk8ZtZ7OWhTc13woPMB8GA1UdIwQYMBaAFBQu sxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYV aHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5s ZW5jci5vcmcvMCEGA1UdEQQaMBiCFnRyYW5zcG9ydC5kYXRhLmdvdXYuZnIwTAYD VR0gBEUwQzAIBgZngQwBAgEwNwYLKwYBBAGC3xMBAQEwKDAmBggrBgEFBQcCARYa aHR0cDovL2Nwcy5sZXRzZW5jcnlwdC5vcmcwggEFBgorBgEEAdZ5AgQCBIH2BIHz APEAdwB6MoxU2LcttiDqOOBSHumEFnAyE4VNO9IrwTpXo1LrUgAAAYO/t+7gAAAE AwBIMEYCIQDTIZUqZnuVzNQ5ZWuBCqJn2th+6i7kBPJLvxTZdNVRDQIhANT1sHnv Oh8z9kPEuSi/6XlKHfnNEZ6M2mSAj359plEoAHYArfe++nz/EMiLnT2cHj4YarRn KV3PsQwkyoWGNOvcgooAAAGDv7fu8gAABAMARzBFAiAmcQCi+h4ts5oZbots0vXf sVX2C9kNjMqNcUOYP86wYQIhAOY4KYXVuHRXoEqv0ju+vPBH78cxhwtg4oUeTH8P kd+2MA0GCSqGSIb3DQEBCwUAA4IBAQCo/WHIO6foywt1XtCWKkFgn6aDKWOhaguJ Xdb8zuHokAZUkDOGc7dewjxlVCjz2V2hw6HZGJcBUherHVZQ2sv0NjjoYH35HGkG qhX1RxRaEfSNvCRBSejuHE2Xs/LYhDkEMOoy6I8CHK2NmAP+M8UZlMGvTZFJVm3P /t4Ra068P6bZlanELGvEY/N7gYcroxhjUQA1roUDOUSWA5GhfwyL/6KQrbe4wYPc cOf73o9RyelSwH2Ap+au+MDScUf9Gm+702MlxEoMinzb73+lQrX2lGLvnNJwMdOq 4M+bUJiMljbFCqhKjNZIxXm6WocXY1JqsviW6U5rzLhENr8IsQ8i -----END CERTIFICATE-----","",""
"cert_commonName","transport.data.gouv.fr/185.42.117.109","443","OK","transport.data.gouv.fr","",""
"cert_commonName_wo_SNI","transport.data.gouv.fr/185.42.117.109","443","INFO","lolcatho.st","",""
"cert_subjectAltName","transport.data.gouv.fr/185.42.117.109","443","INFO","transport.data.gouv.fr","",""
"cert_trust","transport.data.gouv.fr/185.42.117.109","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","transport.data.gouv.fr/185.42.117.109","443","OK","passed.","",""
"cert_certificatePolicies_EV","transport.data.gouv.fr/185.42.117.109","443","INFO","no","",""
"cert_expirationStatus","transport.data.gouv.fr/185.42.117.109","443","OK","50 >= 30 days","",""
"cert_notBefore","transport.data.gouv.fr/185.42.117.109","443","INFO","2022-10-10 01:27","",""
"cert_notAfter","transport.data.gouv.fr/185.42.117.109","443","OK","2023-01-08 01:27","",""
"cert_extlifeSpan","transport.data.gouv.fr/185.42.117.109","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","transport.data.gouv.fr/185.42.117.109","443","INFO","not present","",""
"cert_crlDistributionPoints","transport.data.gouv.fr/185.42.117.109","443","INFO","--","",""
"cert_ocspURL","transport.data.gouv.fr/185.42.117.109","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","transport.data.gouv.fr/185.42.117.109","443","LOW","not offered","",""
"cert_mustStapleExtension","transport.data.gouv.fr/185.42.117.109","443","INFO","--","",""
"DNS_CAArecord","transport.data.gouv.fr/185.42.117.109","443","LOW","--","",""
"certificate_transparency","transport.data.gouv.fr/185.42.117.109","443","OK","yes (certificate extension)","",""
"certs_countServer","transport.data.gouv.fr/185.42.117.109","443","INFO","3","",""
"certs_list_ordering_problem","transport.data.gouv.fr/185.42.117.109","443","INFO","no","",""
"cert_caIssuers","transport.data.gouv.fr/185.42.117.109","443","INFO","R3 (Let's Encrypt from US)","",""
