"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.geoportail.gouv.fr/192.134.136.10","443","INFO","HTTP","",""
"pre_128cipher","www.geoportail.gouv.fr/192.134.136.10","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.geoportail.gouv.fr/192.134.136.10","443","OK","not offered","",""
"SSLv3","www.geoportail.gouv.fr/192.134.136.10","443","OK","not offered","",""
"TLS1","www.geoportail.gouv.fr/192.134.136.10","443","INFO","not offered","",""
"TLS1_1","www.geoportail.gouv.fr/192.134.136.10","443","INFO","not offered","",""
"TLS1_2","www.geoportail.gouv.fr/192.134.136.10","443","OK","offered","",""
"TLS1_3","www.geoportail.gouv.fr/192.134.136.10","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.geoportail.gouv.fr/192.134.136.10","443","INFO","not offered","",""
"cipherlist_NULL","www.geoportail.gouv.fr/192.134.136.10","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.geoportail.gouv.fr/192.134.136.10","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.geoportail.gouv.fr/192.134.136.10","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.geoportail.gouv.fr/192.134.136.10","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.geoportail.gouv.fr/192.134.136.10","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.geoportail.gouv.fr/192.134.136.10","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.geoportail.gouv.fr/192.134.136.10","443","INFO","not offered","",""
"cipherlist_STRONG","www.geoportail.gouv.fr/192.134.136.10","443","OK","offered","",""
"cipher_order","www.geoportail.gouv.fr/192.134.136.10","443","OK","server","",""
"protocol_negotiated","www.geoportail.gouv.fr/192.134.136.10","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","www.geoportail.gouv.fr/192.134.136.10","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","www.geoportail.gouv.fr/192.134.136.10","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","www.geoportail.gouv.fr/192.134.136.10","443","OK","offered","",""
"FS_ciphers","www.geoportail.gouv.fr/192.134.136.10","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","www.geoportail.gouv.fr/192.134.136.10","443","OK","prime256v1","",""
"TLS_extensions","www.geoportail.gouv.fr/192.134.136.10","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'heartbeat/#15'","",""
"TLS_session_ticket","www.geoportail.gouv.fr/192.134.136.10","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.geoportail.gouv.fr/192.134.136.10","443","INFO","yes","",""
"sessionresumption_ticket","www.geoportail.gouv.fr/192.134.136.10","443","INFO","not supported","",""
"sessionresumption_ID","www.geoportail.gouv.fr/192.134.136.10","443","INFO","supported","",""
"TLS_timestamp","www.geoportail.gouv.fr/192.134.136.10","443","INFO","random","",""
"cert_compression","www.geoportail.gouv.fr/192.134.136.10","443","INFO","N/A","",""
"clientAuth","www.geoportail.gouv.fr/192.134.136.10","443","INFO","none","",""
"cert_numbers","www.geoportail.gouv.fr/192.134.136.10","443","INFO","1","",""
"cert_signatureAlgorithm","www.geoportail.gouv.fr/192.134.136.10","443","OK","SHA256 with RSA","",""
"cert_keySize","www.geoportail.gouv.fr/192.134.136.10","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.geoportail.gouv.fr/192.134.136.10","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.geoportail.gouv.fr/192.134.136.10","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.geoportail.gouv.fr/192.134.136.10","443","INFO","5CEC0A384235C8B6F4959198A50F3AC0","",""
"cert_fingerprintSHA1","www.geoportail.gouv.fr/192.134.136.10","443","INFO","87C36A2718A51D280D5FBFF3642205A6BC83A680","",""
"cert_fingerprintSHA256","www.geoportail.gouv.fr/192.134.136.10","443","INFO","E8FE263EA43BE279CB88AA13137622838A05603055070C8E0AF71804BCBE1730","",""
