"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.dossierfacile.fr/5.104.101.30","443","INFO","HTTP","",""
"pre_128cipher","www.dossierfacile.fr/5.104.101.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.dossierfacile.fr/5.104.101.30","443","OK","not offered","",""
"SSLv3","www.dossierfacile.fr/5.104.101.30","443","OK","not offered","",""
"TLS1","www.dossierfacile.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_1","www.dossierfacile.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_2","www.dossierfacile.fr/5.104.101.30","443","OK","offered","",""
"TLS1_3","www.dossierfacile.fr/5.104.101.30","443","OK","offered with final","",""
"ALPN_HTTP2","www.dossierfacile.fr/5.104.101.30","443","OK","h2","",""
"ALPN","www.dossierfacile.fr/5.104.101.30","443","INFO","http/1.1","",""
"cipherlist_NULL","www.dossierfacile.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.dossierfacile.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.dossierfacile.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.dossierfacile.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.dossierfacile.fr/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.dossierfacile.fr/5.104.101.30","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.dossierfacile.fr/5.104.101.30","443","INFO","not offered","",""
"cipherlist_STRONG","www.dossierfacile.fr/5.104.101.30","443","OK","offered","",""
"cipherorder_TLSv1_2","www.dossierfacile.fr/5.104.101.30","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.dossierfacile.fr/5.104.101.30","443","OK","server","",""
"protocol_negotiated","www.dossierfacile.fr/5.104.101.30","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","www.dossierfacile.fr/5.104.101.30","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"FS","www.dossierfacile.fr/5.104.101.30","443","OK","offered","",""
"FS_ciphers","www.dossierfacile.fr/5.104.101.30","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","www.dossierfacile.fr/5.104.101.30","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.dossierfacile.fr/5.104.101.30","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.dossierfacile.fr/5.104.101.30","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.dossierfacile.fr/5.104.101.30","443","INFO","yes","",""
"sessionresumption_ticket","www.dossierfacile.fr/5.104.101.30","443","INFO","supported","",""
"sessionresumption_ID","www.dossierfacile.fr/5.104.101.30","443","INFO","not supported","",""
"TLS_timestamp","www.dossierfacile.fr/5.104.101.30","443","INFO","random","",""
