"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.darty.com/23.2.148.146","443","INFO","HTTP","",""
"pre_128cipher","www.darty.com/23.2.148.146","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.darty.com/23.2.148.146","443","OK","not offered","",""
"SSLv3","www.darty.com/23.2.148.146","443","OK","not offered","",""
"TLS1","www.darty.com/23.2.148.146","443","LOW","offered (deprecated)","",""
"TLS1_1","www.darty.com/23.2.148.146","443","LOW","offered (deprecated)","",""
"TLS1_2","www.darty.com/23.2.148.146","443","OK","offered","",""
"TLS1_3","www.darty.com/23.2.148.146","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","www.darty.com/23.2.148.146","443","OK","h2","",""
"ALPN","www.darty.com/23.2.148.146","443","INFO","http/1.1","",""
"cipherlist_NULL","www.darty.com/23.2.148.146","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.darty.com/23.2.148.146","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.darty.com/23.2.148.146","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.darty.com/23.2.148.146","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.darty.com/23.2.148.146","443","MEDIUM","offered","","CWE-310"
"cipherlist_AVERAGE","www.darty.com/23.2.148.146","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.darty.com/23.2.148.146","443","OK","offered","",""
"cipherlist_STRONG","www.darty.com/23.2.148.146","443","OK","offered","",""
"cipher_order","www.darty.com/23.2.148.146","443","OK","server","",""
"protocol_negotiated","www.darty.com/23.2.148.146","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","www.darty.com/23.2.148.146","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1","www.darty.com/23.2.148.146","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipherorder_TLSv1_1","www.darty.com/23.2.148.146","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipherorder_TLSv1_2","www.darty.com/23.2.148.146","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","www.darty.com/23.2.148.146","443","OK","offered","",""
"FS_ciphers","www.darty.com/23.2.148.146","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.darty.com/23.2.148.146","443","OK","prime256v1","",""
"TLS_extensions","www.darty.com/23.2.148.146","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","www.darty.com/23.2.148.146","443","INFO","valid for 83100 seconds only (<daily)","",""
"SSL_sessionID_support","www.darty.com/23.2.148.146","443","INFO","yes","",""
"sessionresumption_ticket","www.darty.com/23.2.148.146","443","INFO","supported","",""
"sessionresumption_ID","www.darty.com/23.2.148.146","443","INFO","supported","",""
"TLS_timestamp","www.darty.com/23.2.148.146","443","INFO","random","",""
"clientAuth","www.darty.com/23.2.148.146","443","INFO","none","",""
"cert_numbers","www.darty.com/23.2.148.146","443","INFO","1","",""
"cert_signatureAlgorithm","www.darty.com/23.2.148.146","443","OK","SHA256 with RSA","",""
"cert_keySize","www.darty.com/23.2.148.146","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.darty.com/23.2.148.146","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.darty.com/23.2.148.146","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.darty.com/23.2.148.146","443","INFO","06A026110E4A5AF6B3649B0DE9EFB2DE","",""
"cert_fingerprintSHA1","www.darty.com/23.2.148.146","443","INFO","028D0A9887FF7AF69ED9F5938E2D8DE9237227D5","",""
"cert_fingerprintSHA256","www.darty.com/23.2.148.146","443","INFO","8270ED86FE66B39C8C2E52E75C47C509906D8B666A9744BD236AD5A2B37F2C67","",""
"cert","www.darty.com/23.2.148.146","443","INFO","-----BEGIN CERTIFICATE----- MIIKtzCCCZ+gAwIBAgIQBqAmEQ5KWvazZJsN6e+y3jANBgkqhkiG9w0BAQsFADBe MQswCQYDVQQGEwJVUzEVMBMGA1UEChMMRGlnaUNlcnQgSW5jMRkwFwYDVQQLExB3 d3cuZGlnaWNlcnQuY29tMR0wGwYDVQQDExRHZW9UcnVzdCBSU0EgQ0EgMjAxODAe Fw0yMDExMTEwMDAwMDBaFw0yMTExMTUyMzU5NTlaMG0xCzAJBgNVBAYTAkZSMRcw FQYDVQQIDA7DjmxlLWRlLUZyYW5jZTEXMBUGA1UEBxMOSXZyeS1zdXItU2VpbmUx GDAWBgNVBAoTD0ZOQUMgREFSVFkgUy5BLjESMBAGA1UEAxMJZGFydHkuY29tMIIB IjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA2UUgvBh1r6FOyab/l59w9wjn QIOd6Ovr8GXOQwrKxKT304lZSu7yK1wergsXK59QUVhEzU4dNt+BRAdP9xSSuOvk eBJQcCFQrLDYn+fjBlmheF8G4HA++H0AewL/yuSH60mea3oo21e+ym8pfHdYXcl2 Fdot9H2YkqXwouAyqUXoNY05ej0ZrciaOEyX3AR+AVMSEVLkxrrzr9SrJXzTolkG fGzZ+fGmwML7ts3NiGs0/PisRxnJ3ndjpGIlFdDsmB87oFn2ZdOn6fBrg12n6lj1 1mli0FGSnPIVzcVWQ+wh9QWFG5X6DAkyvwDIX3KdgKL5ZMrbDOFH7WQbzp4NIwID AQABo4IHYDCCB1wwHwYDVR0jBBgwFoAUkFj/sJx1qFFUd7Ht8qNDFjiebMUwHQYD VR0OBBYEFHbOihGPBYpy63pSGL1+dyJpxfyUMIIEzQYDVR0RBIIExDCCBMCCEnd3 d3Y2LWVzLmRhcnR5LmNvbYIbd3d3Mi1yZWMubWlzdGVyZ29vZGRlYWwuY29tghZ3 d3cubWlzdGVyZ29vZGRlYWwuY29tghR3d3cuZm5hY3NlcmVuaXRlLmNvbYIRd3d3 LmZuYWNkYXJ0eS5jb22CFXd3dy5kYXJ0eXNlcmVuaXRlLmNvbYIQd3d3LmRhcnR5 cHJvLmNvbYINd3d3LmRhcnR5LmNvbYIad3d3LXJlYy5taXN0ZXJnb29kZGVhbC5j b22CHnd3dy1wcmVwcm9kLm1pc3Rlcmdvb2RkZWFsLmNvbYIYdGVsZWNoYXJnZW1l bnQuZGFydHkuY29tgh5zdGF0aWMyLXJlYy5taXN0ZXJnb29kZGVhbC5jb22CGXN0 YXRpYy5taXN0ZXJnb29kZGVhbC5jb22CHXN0YXRpYy1yZWMubWlzdGVyZ29vZGRl YWwuY29tgiFzdGF0aWMtcHJlcHJvZC5taXN0ZXJnb29kZGVhbC5jb22CHnNvdXNj cmlwdGlvbi5kYXJ0eXNlcmVuaXRlLmNvbYIac2VydmljZXMuZGFydHlzZXJlbml0 ZS5jb22CIXNlcnZpY2VkZXNrLnJlY2V0dGUuZm5hY2RhcnR5LmNvbYIZc2Vydmlj ZWRlc2suZm5hY2RhcnR5LmNvbYIVc2VjdXJldjYtZXMuZGFydHkuY29tghlzZWN1 cmUyLnJlY2V0dGUuZGFydHkuY29tghhzZWN1cmUucmVjZXR0ZS5kYXJ0eS5jb22C EHNlY3VyZS5kYXJ0eS5jb22CDXNhdi5kYXJ0eS5jb22CEnJlY2V0dGUzLmRhcnR5 LmNvbYIScmVjZXR0ZTIuZGFydHkuY29tghFyZWNldHRlLmRhcnR5LmNvbYINcHJv LmRhcnR5LmNvbYIZcG9ydGFpbC5kYXJ0eXNlcmVuaXRlLmNvbYISbmFwcy5mbmFj ZGFydHkuY29tghJtaXN0ZXJnb29kZGVhbC5jb22CFG0zLnJlY2V0dGUuZGFydHku Y29tghRtMi5yZWNldHRlLmRhcnR5LmNvbYIMbTIuZGFydHkuY29tghNtLnJlY2V0 dGUuZGFydHkuY29tggttLmRhcnR5LmNvbYITbG9naXN0aWNzLmRhcnR5LmNvbYIN aW1nLmRhcnR5LmNvbYIdaW1hZ2UyLXJlYy5taXN0ZXJnb29kZGVhbC5jb22CGGlt YWdlLm1pc3Rlcmdvb2RkZWFsLmNvbYIPaW1hZ2UuZGFydHkuY29tghxpbWFnZS1y ZWMubWlzdGVyZ29vZGRlYWwuY29tghBmbmFjc2VyZW5pdGUuY29tggxmYy5kYXJ0 eS5jb22CH2VzcGFjZS1jbGllbnQuZGFydHlzZXJlbml0ZS5jb22CFWVtYWlscy5u ZXdzLmRhcnR5LmNvbYIVZW1haWxzLmluZm8uZGFydHkuY29tghFkYXJ0eXNlcmVu aXRlLmNvbYIIZGFydHkuZnKCCWRhcnR5LmNvbYIZY3Vpc2luZS5yZWNldHRlLmRh cnR5LmNvbYIRY3Vpc2luZS5kYXJ0eS5jb22CEWNhZy5mbmFjZGFydHkuY29tgg1j YWcuZGFydHkuY29tMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcD AQYIKwYBBQUHAwIwPgYDVR0fBDcwNTAzoDGgL4YtaHR0cDovL2NkcC5nZW90cnVz dC5jb20vR2VvVHJ1c3RSU0FDQTIwMTguY3JsMEwGA1UdIARFMEMwNwYJYIZIAYb9 bAEBMCowKAYIKwYBBQUHAgEWHGh0dHBzOi8vd3d3LmRpZ2ljZXJ0LmNvbS9DUFMw CAYGZ4EMAQICMHUGCCsGAQUFBwEBBGkwZzAmBggrBgEFBQcwAYYaaHR0cDovL3N0 YXR1cy5nZW90cnVzdC5jb20wPQYIKwYBBQUHMAKGMWh0dHA6Ly9jYWNlcnRzLmdl b3RydXN0LmNvbS9HZW9UcnVzdFJTQUNBMjAxOC5jcnQwDAYDVR0TAQH/BAIwADCC AQUGCisGAQQB1nkCBAIEgfYEgfMA8QB3APZclC/RdzAiFFQYCDCUVo7jTRMZM7/f DC8gC8xO8WTjAAABdbcR8jEAAAQDAEgwRgIhANz88asVb4n7mk3LuhvuSsqkwWNB IQzRVg1SgMA/+By3AiEAgMTrBsc0bc/kXhcgFPacXtvS0IvVgFaLNOQtGx+J75sA dgBc3EOS/uarRUSxXprUVuYQN/vV+kfcoXOUsl7m9scOygAAAXW3EfKMAAAEAwBH MEUCIQC4469UfOAoECihWxkOhk2FQTafNl/wHmvP+VtQfYK1/wIgF1IHCM40gL1q 4giNZgq7G+Y1dmPP3vo03V5uMXzfJz8wDQYJKoZIhvcNAQELBQADggEBAI8U1wym hK3k/ZY77l+2/OoaaF6LXwtwdW6HmgxwSmEuIXUk0wUycT9i7X6hZWqvS5QTWfxQ JyrhwcjSZUQPy6F4yeVxyAXiamQza1tjdDilv27ohXzHh9kR4OeWSkSmVUHvHxxC wD+DI+eOEDbD2INU8irnzC6DVH71ZMTOFuGPdnhExk6RcBfYxXKhO/766NgdRrRO IFk7jbI7faom0HXeL5fRCD3Wqgybob59kW3zxcZ8vClA+WUM66gcTSui4lkxy51+ udkG6USCR5EA3ktqr0Po8m6y9W6ouwYpjgnVVDF9GbCbwcyC3BYg0sc5rhL7wm2M S5bmkyuh4ghrN+A= -----END CERTIFICATE-----","",""
"cert_commonName","www.darty.com/23.2.148.146","443","OK","darty.com","",""
"cert_commonName_wo_SNI","www.darty.com/23.2.148.146","443","INFO","darty.com","",""
"cert_subjectAltName","www.darty.com/23.2.148.146","443","INFO","wwwv6-es.darty.com www2-rec.mistergooddeal.com www.mistergooddeal.com www.fnacserenite.com www.fnacdarty.com www.dartyserenite.com www.dartypro.com www.darty.com www-rec.mistergooddeal.com www-preprod.mistergooddeal.com telechargement.darty.com static2-rec.mistergooddeal.com static.mistergooddeal.com static-rec.mistergooddeal.com static-preprod.mistergooddeal.com souscription.dartyserenite.com services.dartyserenite.com servicedesk.recette.fnacdarty.com servicedesk.fnacdarty.com securev6-es.darty.com secure2.recette.darty.com secure.recette.darty.com secure.darty.com sav.darty.com recette3.darty.com recette2.darty.com recette.darty.com pro.darty.com portail.dartyserenite.com naps.fnacdarty.com mistergooddeal.com m3.recette.darty.com m2.recette.darty.com m2.darty.com m.recette.darty.com m.darty.com logistics.darty.com img.darty.com image2-rec.mistergooddeal.com image.mistergooddeal.com image.darty.com image-rec.mistergooddeal.com fnacserenite.com fc.darty.com espace-client.dartyserenite.com emails.news.darty.com emails.info.darty.com dartyserenite.com darty.fr darty.com cuisine.recette.darty.com cuisine.darty.com cag.fnacdarty.com cag.darty.com","",""
"cert_trust","www.darty.com/23.2.148.146","443","OK","Ok via SAN (same w/o SNI)","",""
"cert_chain_of_trust","www.darty.com/23.2.148.146","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.darty.com/23.2.148.146","443","INFO","no","",""
