"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.ecologie.gouv.fr/37.235.89.97","443","INFO","HTTP","",""
"pre_128cipher","www.ecologie.gouv.fr/37.235.89.97","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.ecologie.gouv.fr/37.235.89.97","443","OK","not offered","",""
"SSLv3","www.ecologie.gouv.fr/37.235.89.97","443","OK","not offered","",""
"TLS1","www.ecologie.gouv.fr/37.235.89.97","443","INFO","not offered","",""
"TLS1_1","www.ecologie.gouv.fr/37.235.89.97","443","INFO","not offered","",""
"TLS1_2","www.ecologie.gouv.fr/37.235.89.97","443","OK","offered","",""
"TLS1_3","www.ecologie.gouv.fr/37.235.89.97","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.ecologie.gouv.fr/37.235.89.97","443","INFO","not offered","",""
"cipherlist_NULL","www.ecologie.gouv.fr/37.235.89.97","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.ecologie.gouv.fr/37.235.89.97","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.ecologie.gouv.fr/37.235.89.97","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.ecologie.gouv.fr/37.235.89.97","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.ecologie.gouv.fr/37.235.89.97","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.ecologie.gouv.fr/37.235.89.97","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.ecologie.gouv.fr/37.235.89.97","443","OK","offered","",""
"cipherlist_STRONG","www.ecologie.gouv.fr/37.235.89.97","443","OK","offered","",""
"cipher_order","www.ecologie.gouv.fr/37.235.89.97","443","OK","server","",""
"protocol_negotiated","www.ecologie.gouv.fr/37.235.89.97","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","www.ecologie.gouv.fr/37.235.89.97","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","www.ecologie.gouv.fr/37.235.89.97","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","www.ecologie.gouv.fr/37.235.89.97","443","OK","offered","",""
"FS_ciphers","www.ecologie.gouv.fr/37.235.89.97","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.ecologie.gouv.fr/37.235.89.97","443","OK","prime256v1","",""
"TLS_extensions","www.ecologie.gouv.fr/37.235.89.97","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15' 'next protocol/#13172'","",""
"TLS_session_ticket","www.ecologie.gouv.fr/37.235.89.97","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","www.ecologie.gouv.fr/37.235.89.97","443","INFO","yes","",""
"sessionresumption_ticket","www.ecologie.gouv.fr/37.235.89.97","443","INFO","supported","",""
"sessionresumption_ID","www.ecologie.gouv.fr/37.235.89.97","443","INFO","supported","",""
"TLS_timestamp","www.ecologie.gouv.fr/37.235.89.97","443","INFO","random","",""
"cert_compression","www.ecologie.gouv.fr/37.235.89.97","443","INFO","N/A","",""
"clientAuth","www.ecologie.gouv.fr/37.235.89.97","443","INFO","none","",""
"cert_numbers","www.ecologie.gouv.fr/37.235.89.97","443","INFO","1","",""
"cert_signatureAlgorithm","www.ecologie.gouv.fr/37.235.89.97","443","OK","SHA256 with RSA","",""
