"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","HTTP","",""
"pre_128cipher","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.maprimerenov.gouv.fr/15.237.64.141","443","OK","not offered","",""
"SSLv3","www.maprimerenov.gouv.fr/15.237.64.141","443","OK","not offered","",""
"TLS1","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","not offered","",""
"TLS1_1","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","not offered","",""
"TLS1_2","www.maprimerenov.gouv.fr/15.237.64.141","443","OK","offered","",""
"TLS1_3","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","www.maprimerenov.gouv.fr/15.237.64.141","443","OK","h2","",""
"ALPN","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","http/1.1","",""
"cipherlist_NULL","www.maprimerenov.gouv.fr/15.237.64.141","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.maprimerenov.gouv.fr/15.237.64.141","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.maprimerenov.gouv.fr/15.237.64.141","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.maprimerenov.gouv.fr/15.237.64.141","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.maprimerenov.gouv.fr/15.237.64.141","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.maprimerenov.gouv.fr/15.237.64.141","443","OK","offered","",""
"cipherlist_STRONG","www.maprimerenov.gouv.fr/15.237.64.141","443","OK","offered","",""
"cipher_order","www.maprimerenov.gouv.fr/15.237.64.141","443","OK","server","",""
"protocol_negotiated","www.maprimerenov.gouv.fr/15.237.64.141","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","www.maprimerenov.gouv.fr/15.237.64.141","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","www.maprimerenov.gouv.fr/15.237.64.141","443","OK","offered","",""
"FS_ciphers","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","www.maprimerenov.gouv.fr/15.237.64.141","443","OK","sect283k1 sect283r1 sect409k1 sect409r1 sect571k1 sect571r1 secp256k1 prime256v1 secp384r1 secp521r1 brainpoolP256r1 brainpoolP384r1 brainpoolP512r1","",""
"TLS_extensions","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","valid for 43200 seconds only (<daily)","",""
"SSL_sessionID_support","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","yes","",""
"sessionresumption_ticket","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","supported","",""
"sessionresumption_ID","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","supported","",""
"TLS_timestamp","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","random","",""
"cert_compression","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","N/A","",""
"clientAuth","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","none","",""
"cert_numbers","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","1","",""
"cert_signatureAlgorithm","www.maprimerenov.gouv.fr/15.237.64.141","443","OK","SHA256 with RSA","",""
"cert_keySize","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.maprimerenov.gouv.fr/15.237.64.141","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
