"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.nytimes.com/151.101.209.164","443","INFO","HTTP","",""
"pre_128cipher","www.nytimes.com/151.101.209.164","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.nytimes.com/151.101.209.164","443","OK","not offered","",""
"SSLv3","www.nytimes.com/151.101.209.164","443","OK","not offered","",""
"TLS1","www.nytimes.com/151.101.209.164","443","INFO","not offered","",""
"TLS1_1","www.nytimes.com/151.101.209.164","443","INFO","is not offered","",""
"TLS1_2","www.nytimes.com/151.101.209.164","443","OK","offered","",""
"TLS1_3","www.nytimes.com/151.101.209.164","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","www.nytimes.com/151.101.209.164","443","OK","h2","",""
"ALPN","www.nytimes.com/151.101.209.164","443","INFO","http/1.1","",""
"cipherlist_NULL","www.nytimes.com/151.101.209.164","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.nytimes.com/151.101.209.164","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.nytimes.com/151.101.209.164","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.nytimes.com/151.101.209.164","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.nytimes.com/151.101.209.164","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.nytimes.com/151.101.209.164","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.nytimes.com/151.101.209.164","443","OK","offered","",""
"cipherlist_STRONG","www.nytimes.com/151.101.209.164","443","OK","offered","",""
"cipher_order","www.nytimes.com/151.101.209.164","443","OK","server","",""
"protocol_negotiated","www.nytimes.com/151.101.209.164","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","www.nytimes.com/151.101.209.164","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","www.nytimes.com/151.101.209.164","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","www.nytimes.com/151.101.209.164","443","OK","offered","",""
"FS_ciphers","www.nytimes.com/151.101.209.164","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.nytimes.com/151.101.209.164","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.nytimes.com/151.101.209.164","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.nytimes.com/151.101.209.164","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.nytimes.com/151.101.209.164","443","INFO","yes","",""
"sessionresumption_ticket","www.nytimes.com/151.101.209.164","443","INFO","supported","",""
"sessionresumption_ID","www.nytimes.com/151.101.209.164","443","INFO","supported","",""
"TLS_timestamp","www.nytimes.com/151.101.209.164","443","INFO","random","",""
"clientAuth","www.nytimes.com/151.101.209.164","443","INFO","none","",""
"cert_numbers","www.nytimes.com/151.101.209.164","443","INFO","1","",""
"cert_signatureAlgorithm","www.nytimes.com/151.101.209.164","443","OK","SHA256 with RSA","",""
"cert_keySize","www.nytimes.com/151.101.209.164","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.nytimes.com/151.101.209.164","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.nytimes.com/151.101.209.164","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.nytimes.com/151.101.209.164","443","INFO","B947803967139F666A54B56C27B852B5","",""
"cert_fingerprintSHA1","www.nytimes.com/151.101.209.164","443","INFO","CB29785052F1B91E530CBE546C11DFE62994D76E","",""
"cert_fingerprintSHA256","www.nytimes.com/151.101.209.164","443","INFO","5A718DA6E2D2691E0E2DFDED6CC0699AF6E0A6489F195539BF21748857E3F7F7","",""
"cert","www.nytimes.com/151.101.209.164","443","INFO","-----BEGIN CERTIFICATE----- MIIIiDCCB3CgAwIBAgIRALlHgDlnE59malS1bCe4UrUwDQYJKoZIhvcNAQELBQAw gY8xCzAJBgNVBAYTAkdCMRswGQYDVQQIExJHcmVhdGVyIE1hbmNoZXN0ZXIxEDAO BgNVBAcTB1NhbGZvcmQxGDAWBgNVBAoTD1NlY3RpZ28gTGltaXRlZDE3MDUGA1UE AxMuU2VjdGlnbyBSU0EgRG9tYWluIFZhbGlkYXRpb24gU2VjdXJlIFNlcnZlciBD QTAeFw0yMDAxMDMwMDAwMDBaFw0yMjA0MDYwMDAwMDBaMBYxFDASBgNVBAMTC255 dGltZXMuY29tMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA2vIYBcEk jRjxKRBEhreIK5nbwwlIs2kac4MHXeuh/QVBc+D9sxQyuuSSTzEcotExJUGoXAj4 sND69/NUVMHg08GtxnnidKORJKWkvKk7fbPU5oJZHWyjY6JtNQzQaVEIm9JJFIoz 3UYXSwEStCeG4xKoeNWo7GsYGi3vxDhFWFlwgdWWsnEcuXKO1CP+0v3U3zFb4/J4 w3o2y+e7R4hEf9VOxVmNRGz6F+2o1MGP5QZ7kmP88P12i/4k1ZvfqJcZ5T8mk34d Um+acZONfwmb/oUHeqJ49bmPHkCB+0fiIxPg1YiVagWN2nr33tC2jw8d5mLVlNMc 7RZMlLFsfQ00pwIDAQABo4IFVTCCBVEwHwYDVR0jBBgwFoAUjYxexFStiuF36Zv5 mwXhuAGNYeEwHQYDVR0OBBYEFBlxoXFOqciK3NNB8Q4ORqDb1ArGMA4GA1UdDwEB /wQEAwIFoDAMBgNVHRMBAf8EAjAAMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEF BQcDAjBJBgNVHSAEQjBAMDQGCysGAQQBsjEBAgIHMCUwIwYIKwYBBQUHAgEWF2h0 dHBzOi8vc2VjdGlnby5jb20vQ1BTMAgGBmeBDAECATCBhAYIKwYBBQUHAQEEeDB2 ME8GCCsGAQUFBzAChkNodHRwOi8vY3J0LnNlY3RpZ28uY29tL1NlY3RpZ29SU0FE b21haW5WYWxpZGF0aW9uU2VjdXJlU2VydmVyQ0EuY3J0MCMGCCsGAQUFBzABhhdo dHRwOi8vb2NzcC5zZWN0aWdvLmNvbTCCAgQGA1UdEQSCAfswggH3ggtueXRpbWVz LmNvbYIVKi5hcGkuZGV2Lm55dGltZXMuY29tghEqLmFwaS5ueXRpbWVzLmNvbYIV Ki5hcGkuc3RnLm55dGltZXMuY29tghMqLmJsb2dzLm55dGltZXMuY29tghcqLmJs b2dzLnN0Zy5ueXRpbWVzLmNvbYINKi5kZXYubnl0LmNvbYINKi5kZXYubnl0Lm5l dIIRKi5kZXYubnl0aW1lcy5jb22CESoubmV3c2Rldi5ueXQubmV0ghUqLm5ld3Nk ZXYubnl0aW1lcy5jb22CCSoubnl0LmNvbYIJKi5ueXQubmV0ggsqLm55dGNvLmNv bYINKi5ueXRpbWVzLmNvbYIZKi5wYXlmbG93LnNieC5ueXRpbWVzLmNvbYIRKi5z Yngubnl0aW1lcy5jb22CFSouc3RnLm5ld3NkZXYubnl0Lm5ldIIZKi5zdGcubmV3 c2Rldi5ueXRpbWVzLmNvbYINKi5zdGcubnl0LmNvbYINKi5zdGcubnl0Lm5ldIIR Ki5zdGcubnl0aW1lcy5jb22CECoudGltZXN0YWxrcy5jb22CB255dC5jb22CB255 dC5uZXSCCW55dGNvLmNvbYIOdGltZXN0YWxrcy5jb22CHHd3dy5ob21lZGVsaXZl cnkubnl0aW1lcy5jb20wggH2BgorBgEEAdZ5AgQCBIIB5gSCAeIB4AB1AEalVet1 +pEgMLWiiWn0830RLEF0vv1JuIWr8vxw/m1HAAABb2xHtuUAAAQDAEYwRAIfHPby NC0QbQaYcCxirUBukOqhxjbGGMCN+ShDvHhdIQIhAL7hnOuRO/+qcevUX20SojOm 3BH4BXGV7DEvkCSrraI0AHcAb1N2rDHwMRnYmQCkURX/dxUcEdkCwQApBo2yCJo3 2RMAAAFvbEe2wAAABAMASDBGAiEA1C2M10zR2bg0F9NLmaiIuBSDUeBf02gJafZc mKRszsgCIQDUdBsoGg1GOrSReA8Ag8gTV1WhHHCWExZi0qTiPHHHdQB2ACJFRQdZ VSRWlj+hL/H3bYbgIyZjrcBLf13Gg1xu4g8CAAABb2xHtsoAAAQDAEcwRQIhAKre /fTy8RQSQYPsHMXa27LVRtf5EQW3uso0rmB5aBTNAiAGeLByyVK3VNF9GnFV9F2h CjWIAL7p22yQ9lY4MgMrNwB2AFWB1MIWkDYBSuoLm1c8U/DA5Dh4cCUIFy+jqh0H E9MMAAABb2xHtqIAAAQDAEcwRQIhAIo+FXbjrXJ5PssccxqLH1BBLrh58Ih7svAF qTv5QKp2AiBNQ+xC1GbX+uaB1684i4dmTU1eC8mGymTyIbzHhrfoFDANBgkqhkiG 9w0BAQsFAAOCAQEABayUYCS95EI6xTudV+PnsUp2uuVxRt9IrBv8LqdsAc4CphoS gNWlo6ComvKWDGPbPFv/y4BmT6AfqbCe6DUH2e5wrRrGHjYq41xkhuQ5u2l3wEyI 0QmZRsw3wI2bc5ax2A1V52QXjQEHR9IC9AtsgYH8sBoDbzXJSQu7TMShJDPOhlW5 OCuEsgS/ICf20EgHVQuuSX+xgisxV+vYO8lYIfO91nx8s0NG9psna8Vqp37k0B+F +cLb0BXp28sYSeuFqD/AU9jR6HmvfjllTk7mqTUuYoJ7zfxiGgfMGICfzIF6cXrT ZZ/EFq9Lnkq+soVOKIDNNnIFjHnphr7tNIwzzA== -----END CERTIFICATE-----","",""
"cert_commonName","www.nytimes.com/151.101.209.164","443","OK","nytimes.com","",""
"cert_commonName_wo_SNI","www.nytimes.com/151.101.209.164","443","INFO","nytimes.com","",""
"cert_subjectAltName","www.nytimes.com/151.101.209.164","443","INFO","nytimes.com *.api.dev.nytimes.com *.api.nytimes.com *.api.stg.nytimes.com *.blogs.nytimes.com *.blogs.stg.nytimes.com *.dev.nyt.com *.dev.nyt.net *.dev.nytimes.com *.newsdev.nyt.net *.newsdev.nytimes.com *.nyt.com *.nyt.net *.nytco.com *.nytimes.com *.payflow.sbx.nytimes.com *.sbx.nytimes.com *.stg.newsdev.nyt.net *.stg.newsdev.nytimes.com *.stg.nyt.com *.stg.nyt.net *.stg.nytimes.com *.timestalks.com nyt.com nyt.net nytco.com timestalks.com www.homedelivery.nytimes.com","",""
"cert_trust","www.nytimes.com/151.101.209.164","443","OK","Ok via SAN wildcard (same w/o SNI)","",""
"cert_chain_of_trust","www.nytimes.com/151.101.209.164","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.nytimes.com/151.101.209.164","443","INFO","no","",""
"cert_expirationStatus","www.nytimes.com/151.101.209.164","443","OK","366 >= 60 days","",""
"cert_notBefore","www.nytimes.com/151.101.209.164","443","INFO","2020-01-03 00:00","",""
"cert_notAfter","www.nytimes.com/151.101.209.164","443","OK","2022-04-06 00:00","",""
