"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","HTTP","",""
"pre_128cipher","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.vigicrues.gouv.fr/37.235.89.99","443","OK","not offered","",""
"SSLv3","www.vigicrues.gouv.fr/37.235.89.99","443","OK","not offered","",""
"TLS1","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","not offered","",""
"TLS1_1","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","not offered","",""
"TLS1_2","www.vigicrues.gouv.fr/37.235.89.99","443","OK","offered","",""
"TLS1_3","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","not offered","",""
"cipherlist_NULL","www.vigicrues.gouv.fr/37.235.89.99","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.vigicrues.gouv.fr/37.235.89.99","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.vigicrues.gouv.fr/37.235.89.99","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.vigicrues.gouv.fr/37.235.89.99","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.vigicrues.gouv.fr/37.235.89.99","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.vigicrues.gouv.fr/37.235.89.99","443","OK","offered","",""
"cipherlist_STRONG","www.vigicrues.gouv.fr/37.235.89.99","443","OK","offered","",""
"cipher_order","www.vigicrues.gouv.fr/37.235.89.99","443","OK","server","",""
"protocol_negotiated","www.vigicrues.gouv.fr/37.235.89.99","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","www.vigicrues.gouv.fr/37.235.89.99","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","www.vigicrues.gouv.fr/37.235.89.99","443","OK","offered","",""
"FS_ciphers","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.vigicrues.gouv.fr/37.235.89.99","443","OK","prime256v1","",""
"TLS_extensions","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15' 'next protocol/#13172'","",""
"TLS_session_ticket","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","yes","",""
"sessionresumption_ticket","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","supported","",""
"sessionresumption_ID","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","supported","",""
"TLS_timestamp","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","random","",""
"cert_compression","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","N/A","",""
"clientAuth","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","none","",""
"cert_numbers","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","1","",""
"cert_signatureAlgorithm","www.vigicrues.gouv.fr/37.235.89.99","443","OK","SHA256 with RSA","",""
"cert_keySize","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","99A78AC6FE6351D8E81DE685F80F4E16","",""
"cert_fingerprintSHA1","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","FC89D3B9F15097038273E6B2DCBD87EA79A7F7DE","",""
