"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","zerologementvacant.beta.gouv.fr/91.208.207.223","443","INFO","HTTP","",""
"pre_128cipher","zerologementvacant.beta.gouv.fr/91.208.207.223","443","INFO","No 128 cipher limit bug","",""
"SSLv2","zerologementvacant.beta.gouv.fr/91.208.207.223","443","OK","not offered","",""
"SSLv3","zerologementvacant.beta.gouv.fr/91.208.207.223","443","OK","not offered","",""
"TLS1","zerologementvacant.beta.gouv.fr/91.208.207.223","443","INFO","not offered","",""
"TLS1_1","zerologementvacant.beta.gouv.fr/91.208.207.223","443","INFO","not offered","",""
"TLS1_2","zerologementvacant.beta.gouv.fr/91.208.207.223","443","OK","offered","",""
"TLS1_3","zerologementvacant.beta.gouv.fr/91.208.207.223","443","OK","offered with final","",""
"ALPN","zerologementvacant.beta.gouv.fr/91.208.207.223","443","INFO","http/1.1","",""
"cipherlist_NULL","zerologementvacant.beta.gouv.fr/91.208.207.223","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","zerologementvacant.beta.gouv.fr/91.208.207.223","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","zerologementvacant.beta.gouv.fr/91.208.207.223","443","OK","not offered","","CWE-327"
"cipherlist_LOW","zerologementvacant.beta.gouv.fr/91.208.207.223","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","zerologementvacant.beta.gouv.fr/91.208.207.223","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","zerologementvacant.beta.gouv.fr/91.208.207.223","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","zerologementvacant.beta.gouv.fr/91.208.207.223","443","INFO","not offered","",""
"cipherlist_STRONG_FS","zerologementvacant.beta.gouv.fr/91.208.207.223","443","OK","offered","",""
"cipher_order-tls1_2","zerologementvacant.beta.gouv.fr/91.208.207.223","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","zerologementvacant.beta.gouv.fr/91.208.207.223","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","zerologementvacant.beta.gouv.fr/91.208.207.223","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","zerologementvacant.beta.gouv.fr/91.208.207.223","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","zerologementvacant.beta.gouv.fr/91.208.207.223","443","INFO","NOT a cipher order configured","",""
"FS","zerologementvacant.beta.gouv.fr/91.208.207.223","443","OK","offered","",""
"FS_ciphers","zerologementvacant.beta.gouv.fr/91.208.207.223","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","zerologementvacant.beta.gouv.fr/91.208.207.223","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","zerologementvacant.beta.gouv.fr/91.208.207.223","443","INFO","'server name/#0' 'renegotiation info/#65281' 'key share/#51' 'supported versions/#43' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","zerologementvacant.beta.gouv.fr/91.208.207.223","443","INFO","no -- no lifetime advertised","",""
