"id","fqdn/ip","port","severity","finding","cve","cwe"
"cmdline_fast_depreciation","zlv.beta.gouv.fr/","443","WARN","'--fast' can have some undesired side effects thus it is not recommended to use anymore","",""
"service","zlv.beta.gouv.fr/91.208.207.223","443","INFO","HTTP","",""
"pre_128cipher","zlv.beta.gouv.fr/91.208.207.223","443","INFO","No 128 cipher limit bug","",""
"SSLv2","zlv.beta.gouv.fr/91.208.207.223","443","OK","not offered","",""
"SSLv3","zlv.beta.gouv.fr/91.208.207.223","443","OK","not offered","",""
"TLS1","zlv.beta.gouv.fr/91.208.207.223","443","INFO","not offered","",""
"TLS1_1","zlv.beta.gouv.fr/91.208.207.223","443","INFO","not offered","",""
"TLS1_2","zlv.beta.gouv.fr/91.208.207.223","443","OK","offered","",""
"TLS1_3","zlv.beta.gouv.fr/91.208.207.223","443","OK","offered with final","",""
"ALPN","zlv.beta.gouv.fr/91.208.207.223","443","INFO","http/1.1","",""
"cipherlist_NULL","zlv.beta.gouv.fr/91.208.207.223","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","zlv.beta.gouv.fr/91.208.207.223","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","zlv.beta.gouv.fr/91.208.207.223","443","OK","not offered","","CWE-327"
"cipherlist_LOW","zlv.beta.gouv.fr/91.208.207.223","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","zlv.beta.gouv.fr/91.208.207.223","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","zlv.beta.gouv.fr/91.208.207.223","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","zlv.beta.gouv.fr/91.208.207.223","443","INFO","not offered","",""
"cipherlist_STRONG_FS","zlv.beta.gouv.fr/91.208.207.223","443","OK","offered","",""
"cipher_order-tls1_2","zlv.beta.gouv.fr/91.208.207.223","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","zlv.beta.gouv.fr/91.208.207.223","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","zlv.beta.gouv.fr/91.208.207.223","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","zlv.beta.gouv.fr/91.208.207.223","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","zlv.beta.gouv.fr/91.208.207.223","443","INFO","NOT a server cipher order configured","",""
"FS","zlv.beta.gouv.fr/91.208.207.223","443","OK","offered","",""
"FS_ciphers","zlv.beta.gouv.fr/91.208.207.223","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","zlv.beta.gouv.fr/91.208.207.223","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","zlv.beta.gouv.fr/91.208.207.223","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","zlv.beta.gouv.fr/91.208.207.223","443","INFO","'server name/#0' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","zlv.beta.gouv.fr/91.208.207.223","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","zlv.beta.gouv.fr/91.208.207.223","443","INFO","yes","",""
"sessionresumption_ticket","zlv.beta.gouv.fr/91.208.207.223","443","INFO","not supported","",""
"sessionresumption_ID","zlv.beta.gouv.fr/91.208.207.223","443","INFO","not supported","",""
"TLS_timestamp","zlv.beta.gouv.fr/91.208.207.223","443","INFO","random","",""
"certificate_compression","zlv.beta.gouv.fr/91.208.207.223","443","INFO","none","",""
"clientAuth","zlv.beta.gouv.fr/91.208.207.223","443","INFO","none","",""
"cert_numbers","zlv.beta.gouv.fr/91.208.207.223","443","INFO","1","",""
"cert_signatureAlgorithm","zlv.beta.gouv.fr/91.208.207.223","443","OK","SHA256 with RSA","",""
"cert_keySize","zlv.beta.gouv.fr/91.208.207.223","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","zlv.beta.gouv.fr/91.208.207.223","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","zlv.beta.gouv.fr/91.208.207.223","443","INFO","TLS Web Server Authentication","",""
