"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","HTTP","",""
"pre_128cipher","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","acceslibre.beta.gouv.fr/5.104.101.30","443","OK","not offered","",""
"SSLv3","acceslibre.beta.gouv.fr/5.104.101.30","443","OK","not offered","",""
"TLS1","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_1","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_2","acceslibre.beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"TLS1_3","acceslibre.beta.gouv.fr/5.104.101.30","443","OK","offered with final","",""
"ALPN_HTTP2","acceslibre.beta.gouv.fr/5.104.101.30","443","OK","h2","",""
"ALPN","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","http/1.1","",""
"cipherlist_NULL","acceslibre.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","acceslibre.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","acceslibre.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","acceslibre.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","acceslibre.beta.gouv.fr/5.104.101.30","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"cipherlist_STRONG","acceslibre.beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"cipher_order","acceslibre.beta.gouv.fr/5.104.101.30","443","OK","server","",""
"protocol_negotiated","acceslibre.beta.gouv.fr/5.104.101.30","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","acceslibre.beta.gouv.fr/5.104.101.30","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","acceslibre.beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"FS_ciphers","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","acceslibre.beta.gouv.fr/5.104.101.30","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","yes","",""
"sessionresumption_ticket","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","not supported","",""
"sessionresumption_ID","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","not supported","",""
"TLS_timestamp","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","random","",""
"clientAuth","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","none","",""
"cert_numbers","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","1","",""
"cert_signatureAlgorithm","acceslibre.beta.gouv.fr/5.104.101.30","443","OK","SHA256 with RSA","",""
"cert_keySize","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","041E6D291ABC5CF01F2B9BED59D24FD4824F","",""
"cert_fingerprintSHA1","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","963585C392525A4865F2DE41A4BF4EF136C0849B","",""
"cert_fingerprintSHA256","acceslibre.beta.gouv.fr/5.104.101.30","443","INFO","B62F123DB8FA76140C1D7C4C2574035640B871502EB5A7DA405465B83223BA8C","",""
