"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","adock.beta.gouv.fr/176.31.253.20","443","INFO","HTTP","",""
"pre_128cipher","adock.beta.gouv.fr/176.31.253.20","443","INFO","No 128 cipher limit bug","",""
"SSLv2","adock.beta.gouv.fr/176.31.253.20","443","OK","not offered","",""
"SSLv3","adock.beta.gouv.fr/176.31.253.20","443","OK","not offered","",""
"TLS1","adock.beta.gouv.fr/176.31.253.20","443","INFO","not offered","",""
"TLS1_1","adock.beta.gouv.fr/176.31.253.20","443","INFO","not offered","",""
"TLS1_2","adock.beta.gouv.fr/176.31.253.20","443","OK","offered","",""
"TLS1_3","adock.beta.gouv.fr/176.31.253.20","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","adock.beta.gouv.fr/176.31.253.20","443","OK","h2","",""
"ALPN","adock.beta.gouv.fr/176.31.253.20","443","INFO","http/1.1","",""
"cipherlist_NULL","adock.beta.gouv.fr/176.31.253.20","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","adock.beta.gouv.fr/176.31.253.20","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","adock.beta.gouv.fr/176.31.253.20","443","OK","not offered","","CWE-327"
"cipherlist_LOW","adock.beta.gouv.fr/176.31.253.20","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","adock.beta.gouv.fr/176.31.253.20","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","adock.beta.gouv.fr/176.31.253.20","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","adock.beta.gouv.fr/176.31.253.20","443","INFO","not offered","",""
"cipherlist_STRONG_FS","adock.beta.gouv.fr/176.31.253.20","443","OK","offered","",""
"cipher_order-tls1_2","adock.beta.gouv.fr/176.31.253.20","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","adock.beta.gouv.fr/176.31.253.20","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","adock.beta.gouv.fr/176.31.253.20","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","adock.beta.gouv.fr/176.31.253.20","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","adock.beta.gouv.fr/176.31.253.20","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","adock.beta.gouv.fr/176.31.253.20","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","adock.beta.gouv.fr/176.31.253.20","443","INFO","NOT a cipher order configured","",""
"FS","adock.beta.gouv.fr/176.31.253.20","443","OK","offered","",""
"FS_ciphers","adock.beta.gouv.fr/176.31.253.20","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","adock.beta.gouv.fr/176.31.253.20","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","adock.beta.gouv.fr/176.31.253.20","443","INFO","'server name/#0' 'max fragment length/#1' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","adock.beta.gouv.fr/176.31.253.20","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","adock.beta.gouv.fr/176.31.253.20","443","INFO","yes","",""
"sessionresumption_ticket","adock.beta.gouv.fr/176.31.253.20","443","INFO","not supported","",""
"sessionresumption_ID","adock.beta.gouv.fr/176.31.253.20","443","INFO","not supported","",""
"TLS_timestamp","adock.beta.gouv.fr/176.31.253.20","443","INFO","random","",""
"cert_compression","adock.beta.gouv.fr/176.31.253.20","443","INFO","N/A","",""
"clientAuth","adock.beta.gouv.fr/176.31.253.20","443","INFO","none","",""
"cert_numbers","adock.beta.gouv.fr/176.31.253.20","443","INFO","1","",""
"cert_signatureAlgorithm","adock.beta.gouv.fr/176.31.253.20","443","OK","SHA256 with RSA","",""
"cert_keySize","adock.beta.gouv.fr/176.31.253.20","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","adock.beta.gouv.fr/176.31.253.20","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","adock.beta.gouv.fr/176.31.253.20","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","adock.beta.gouv.fr/176.31.253.20","443","INFO","065FE5500554DBB3A3789367F3E576877EA9","",""
"cert_serialNumberLen","adock.beta.gouv.fr/176.31.253.20","443","INFO","18","",""
"cert_fingerprintSHA1","adock.beta.gouv.fr/176.31.253.20","443","INFO","E6954E0F13D73473EFC248E19740E31DB95AB601","",""
"cert_fingerprintSHA256","adock.beta.gouv.fr/176.31.253.20","443","INFO","9A3291F5DEFADE304F99C940974404D8FFAF90802521C38DB63B2DCD57C1C666","",""
"cert","adock.beta.gouv.fr/176.31.253.20","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFATCCA+mgAwIBAgISBl/lUAVU27OjeJNn8+V2h36pMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjUwNTI0MTcyMzU5WhcNMjUwODIyMTcyMzU4WjAdMRswGQYDVQQDExJhZG9jay5iZXRhLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC/i3laPXNu9NAMKO3y8FiLHjCEZarR8MwALHoiaqAxJNGGuVluZRMKvNwpSCibNMOon/dLxAFGKcrrltOPoMBOAtfWrwd/H1mo+FcGN1daqQodujQ7kaC0Jy3e/l+QfwEsKA+IxO09xJkQYUiTLPHZRGWSYr0spyElVyB0VwRRivQ4oydFB2SmFu4KU5A7hWz32c+7f+h8wxAgrksr5FIA0lABoJSEf2Hi7R7uIOh6+ezQ9qNMEC2cwUpZKdCiqOc95asCmKbIjlViGM3oRE5TGOnH+VUOrZ7sMUymoipz720nF8ErevF0Iz+zKm3JJ+KQZtCiot2AJHSrpVh4mkWPAgMBAAGjggIjMIICHzAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFEJEmf9b6nZMEDGq9IbRgbLXEp7HMB8GA1UdIwQYMBaAFLu8w0el5LypxsOkcgwQjaI14cjoMDMGCCsGAQUFBwEBBCcwJTAjBggrBgEFBQcwAoYXaHR0cDovL3IxMC5pLmxlbmNyLm9yZy8wHQYDVR0RBBYwFIISYWRvY2suYmV0YS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC4GA1UdHwQnMCUwI6AhoB+GHWh0dHA6Ly9yMTAuYy5sZW5jci5vcmcvNDIuY3JsMIIBBQYKKwYBBAHWeQIEAgSB9gSB8wDxAHcAEvFONL1TckyEBhnDjz96E/jntWKHiJxtMAWE6+WGJjoAAAGXA4g+vgAABAMASDBGAiEAjAsoAk+mcHZlMdw6aExCPmb7kTW7k9Y60l9K9cLkpUoCIQCdiDchkInrNhUR5fm5zVyeAfZHMkGayIAf3N+u+IsF8AB2AMz7D2qFcQll/pWbU87psnwi6YVcDZeNtql+VMD+TA2wAAABlwOIRnwAAAQDAEcwRQIhALAE8NL5I3k74cnqng+TbAfE/silJH1Np2qhEOu4Wd2sAiBBh8/QiWPU6QfBBniT8NjfM6NcATwYtuA5AJm4WvhMZzANBgkqhkiG9w0BAQsFAAOCAQEAKsCQDGiKpggCJm6AlLGUN2qQlcqViQMCqr++wZu8CSlm/kz+GDUmIWML+wopR++wF9xJx2vML2LfWnjDI/OOAIWmcsZhf0ZgSPkvbNY3Dv3/aBVFGmqsAupAvnr/AJ9xPlKhIxo8190Meu6FnHvfDjHoAC41eV8t5dfzlPsNf2DwonVSMSUudy40nilKD89NAqV/N+KrGeQknzq+ewaM3kRDk5ygSe+r5DIUoBAwXp7XrEtMsNntWVXq7kDWI80Q2bM7B/LO/1sZzHYemqzKdVyywNZmfL175Si63VE72d+2ZORuMWvVdq2KPuJU9DvxQqf7NANu9YVSg55ibq9GlQ==\n-----END CERTIFICATE-----","",""
"cert_commonName","adock.beta.gouv.fr/176.31.253.20","443","OK","adock.beta.gouv.fr","",""
"cert_commonName_wo_SNI","adock.beta.gouv.fr/176.31.253.20","443","INFO","example.com","",""
"cert_subjectAltName","adock.beta.gouv.fr/176.31.253.20","443","INFO","adock.beta.gouv.fr","",""
"cert_trust","adock.beta.gouv.fr/176.31.253.20","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","adock.beta.gouv.fr/176.31.253.20","443","OK","passed.","",""
"cert_certificatePolicies_EV","adock.beta.gouv.fr/176.31.253.20","443","INFO","no","",""
"cert_expirationStatus","adock.beta.gouv.fr/176.31.253.20","443","OK","68 >= 30 days","",""
"cert_notBefore","adock.beta.gouv.fr/176.31.253.20","443","INFO","2025-05-24 17:23","",""
"cert_notAfter","adock.beta.gouv.fr/176.31.253.20","443","OK","2025-08-22 17:23","",""
"cert_extlifeSpan","adock.beta.gouv.fr/176.31.253.20","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","adock.beta.gouv.fr/176.31.253.20","443","INFO","not present","",""
"cert_crlDistributionPoints","adock.beta.gouv.fr/176.31.253.20","443","INFO","http://r10.c.lencr.org/42.crl","",""
"cert_ocspURL","adock.beta.gouv.fr/176.31.253.20","443","INFO","--","",""
"OCSP_stapling","adock.beta.gouv.fr/176.31.253.20","443","INFO","not offered","",""
"cert_mustStapleExtension","adock.beta.gouv.fr/176.31.253.20","443","INFO","--","",""
"DNS_CAArecord","adock.beta.gouv.fr/176.31.253.20","443","LOW","--","",""
"certificate_transparency","adock.beta.gouv.fr/176.31.253.20","443","OK","yes (certificate extension)","",""
"certs_countServer","adock.beta.gouv.fr/176.31.253.20","443","INFO","2","",""
"certs_list_ordering_problem","adock.beta.gouv.fr/176.31.253.20","443","INFO","no","",""
"cert_caIssuers","adock.beta.gouv.fr/176.31.253.20","443","INFO","R10 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","adock.beta.gouv.fr/176.31.253.20","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFBTCCAu2gAwIBAgIQS6hSk/eaL6JzBkuoBI110DANBgkqhkiG9w0BAQsFADBPMQswCQYDVQQGEwJVUzEpMCcGA1UEChMgSW50ZXJuZXQgU2VjdXJpdHkgUmVzZWFyY2ggR3JvdXAxFTATBgNVBAMTDElTUkcgUm9vdCBYMTAeFw0yNDAzMTMwMDAwMDBaFw0yNzAzMTIyMzU5NTlaMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDPV+XmxFQS7bRH/sknWHZGUCiMHT6I3wWd1bUYKb3dtVq/+vbOo76vACFLYlpaPAEvxVgD9on/jhFD68G14BQHlo9vH9fnuoE5CXVlt8KvGFs3Jijno/QHK20a/6tYvJWuQP/py1fEtVt/eA0YYbwX51TGu0mRzW4Y0YCF7qZlNrx06rxQTOr8IfM4FpOUurDTazgGzRYSespSdcitdrLCnF2YRVxvYXvGLe48E1KGAdlX5jgc3421H5KRmudKHMxFqHJV8LDmowfs/acbZp4/SItxhHFYyTr6717yW0QrPHTnj7JHwQdqzZq3DZb3EoEmUVQK7GH29/Xi8orIlQ2NAgMBAAGjgfgwgfUwDgYDVR0PAQH/BAQDAgGGMB0GA1UdJQQWMBQGCCsGAQUFBwMCBggrBgEFBQcDATASBgNVHRMBAf8ECDAGAQH/AgEAMB0GA1UdDgQWBBS7vMNHpeS8qcbDpHIMEI2iNeHI6DAfBgNVHSMEGDAWgBR5tFnme7bl5AFzgAiIyBpY9umbbjAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly94MS5pLmxlbmNyLm9yZy8wEwYDVR0gBAwwCjAIBgZngQwBAgEwJwYDVR0fBCAwHjAcoBqgGIYWaHR0cDovL3gxLmMubGVuY3Iub3JnLzANBgkqhkiG9w0BAQsFAAOCAgEAkrHnQTfreZ2B5s3iJeE6IOmQRJWjgVzPw139vaBw1bGWKCIL0vIozwzn1OZDjCQiHcFCktEJr59L9MhwTyAWsVrdAfYf+B9haxQnsHKNY67u4s5Lzzfdu6PUzeetUK29v+PsPmI2cJkxp+iN3epi4hKu9ZzUPSwMqtCceb7qPVxEbpYxY1p91n5PJKBLBX9eb9LU6l8zSxPWV7bK3lG4XaMJgnT9x3ies7msFtpKK5bDtotij/l0GaKeA97pb5uwD9KgWvaFXMIEt8jVTjLEvwRdvCn294GPDF08U8lAkIv7tghluaQh1QnlE4SEN4LOECj8dsIGJXpGUk3aU3KkJz9icKy+aUgA+2cP21uh6NcDIS3XyfaZQjmDQ993ChII8SXWupQZVBiIpcWO4RqZk3lr7Bz5MUCwzDIA359e57SSq5CCkY0N4B6Vulk7LktfwrdGNVI5BsC9qqxSwSKgRJeZ9wygIaehbHFHFhcBaMDKpiZlBHyzrsnnlFXCb5s8HKn5LsUgGvB24L7sGNZP2CX7dhHov+YhD+jozLW2p9W4959Bz2EiRmqDtmiXLnzqTpXbI+suyCsohKRg6Un0RC47+cpiVwHiXZAW+cn8eiNIjqbVgXLxKPpdzvvtTnOPlC7SQZSYmdunr3Bf9b77AiC/ZidstK36dRILKz7OA54=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","adock.beta.gouv.fr/176.31.253.20","443","INFO","9D7C3F1AA6AD2B2EC0D5CF1E246F8D9AE6CBC9FD0755AD37BB974B1F2FB603F3","",""
"intermediate_cert_notBefore <#1>","adock.beta.gouv.fr/176.31.253.20","443","INFO","2024-03-13 00:00","",""
"intermediate_cert_notAfter <#1>","adock.beta.gouv.fr/176.31.253.20","443","OK","2027-03-12 23:59","",""
"intermediate_cert_expiration <#1>","adock.beta.gouv.fr/176.31.253.20","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","adock.beta.gouv.fr/176.31.253.20","443","INFO","R10 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","adock.beta.gouv.fr/176.31.253.20","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","adock.beta.gouv.fr/176.31.253.20","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","adock.beta.gouv.fr/176.31.253.20","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","adock.beta.gouv.fr/176.31.253.20","443","INFO","1749952577","",""
"HSTS_time","adock.beta.gouv.fr/176.31.253.20","443","OK","730 days (=63072000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","adock.beta.gouv.fr/176.31.253.20","443","OK","includes subdomains","",""
"HSTS_preload","adock.beta.gouv.fr/176.31.253.20","443","OK","domain IS marked for preloading","",""
"HPKP","adock.beta.gouv.fr/176.31.253.20","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","adock.beta.gouv.fr/176.31.253.20","443","INFO","nginx","",""
"banner_application","adock.beta.gouv.fr/176.31.253.20","443","INFO","No application banner found","",""
"cookie_count","adock.beta.gouv.fr/176.31.253.20","443","INFO","0 at '/'","",""
"X-Frame-Options","adock.beta.gouv.fr/176.31.253.20","443","OK","DENY","",""
"X-Content-Type-Options","adock.beta.gouv.fr/176.31.253.20","443","OK","nosniff","",""
"Content-Security-Policy","adock.beta.gouv.fr/176.31.253.20","443","OK","default-src 'self' *.gouv.fr; report-uri https://o59236.ingest.sentry.io/api/1187894/envelope/;  connect-src 'self' https://o59236.ingest.sentry.io/ https://api-adresse.data.gouv.fr/; style-src 'self' 'unsafe-inline' https://fonts.googleapis.com/; font-src 'self' https://fonts.gstatic.com/ themes.googleusercontent.com data:; script-src 'self' https://stats.data.gouv.fr/; frame-ancestors 'none'; form-action 'self'; base-uri 'self'; img-src 'self' https: data:","",""
"X-XSS-Protection","adock.beta.gouv.fr/176.31.253.20","443","INFO","1; mode=block","",""
"Cache-Control","adock.beta.gouv.fr/176.31.253.20","443","INFO","no-transform","",""
"banner_reverseproxy","adock.beta.gouv.fr/176.31.253.20","443","INFO","--","","CWE-200"
"heartbleed","adock.beta.gouv.fr/176.31.253.20","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","adock.beta.gouv.fr/176.31.253.20","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","adock.beta.gouv.fr/176.31.253.20","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
