"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","HTTP","",""
"pre_128cipher","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","No 128 cipher limit bug","",""
"SSLv2","aides-territoires.beta.gouv.fr/54.37.225.24","443","OK","not offered","",""
"SSLv3","aides-territoires.beta.gouv.fr/54.37.225.24","443","OK","not offered","",""
"TLS1","aides-territoires.beta.gouv.fr/54.37.225.24","443","LOW","offered (deprecated)","",""
"TLS1_1","aides-territoires.beta.gouv.fr/54.37.225.24","443","LOW","offered (deprecated)","",""
"TLS1_2","aides-territoires.beta.gouv.fr/54.37.225.24","443","OK","offered","",""
"TLS1_3","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","aides-territoires.beta.gouv.fr/54.37.225.24","443","OK","h2","",""
"ALPN","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","http/1.1","",""
"cipherlist_NULL","aides-territoires.beta.gouv.fr/54.37.225.24","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","aides-territoires.beta.gouv.fr/54.37.225.24","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","aides-territoires.beta.gouv.fr/54.37.225.24","443","OK","not offered","","CWE-327"
"cipherlist_LOW","aides-territoires.beta.gouv.fr/54.37.225.24","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","aides-territoires.beta.gouv.fr/54.37.225.24","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","aides-territoires.beta.gouv.fr/54.37.225.24","443","OK","offered","",""
"cipherlist_STRONG","aides-territoires.beta.gouv.fr/54.37.225.24","443","OK","offered","",""
"cipher_order","aides-territoires.beta.gouv.fr/54.37.225.24","443","OK","server","",""
"protocol_negotiated","aides-territoires.beta.gouv.fr/54.37.225.24","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","aides-territoires.beta.gouv.fr/54.37.225.24","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipherorder_TLSv1_1","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipherorder_TLSv1_2","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","aides-territoires.beta.gouv.fr/54.37.225.24","443","OK","offered","",""
"FS_ciphers","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","aides-territoires.beta.gouv.fr/54.37.225.24","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","yes","",""
"sessionresumption_ticket","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","supported","",""
"sessionresumption_ID","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","not supported","",""
"TLS_timestamp","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","random","",""
"clientAuth","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","none","",""
"cert_numbers","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","1","",""
"cert_signatureAlgorithm","aides-territoires.beta.gouv.fr/54.37.225.24","443","OK","SHA256 with RSA","",""
"cert_keySize","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","0404F87CF26AEFAB427D2E2AE8DA8066ABCD","",""
"cert_fingerprintSHA1","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","F4EDF6B6890B01D5C39E5A437EA4F87FD3841DB7","",""
"cert_fingerprintSHA256","aides-territoires.beta.gouv.fr/54.37.225.24","443","INFO","EE2F4B5D04EFE14D2A19E58DB4F56A852736AB80DAEBBC288838F16AB5E75C93","",""
