"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","HTTP","",""
"pre_128cipher","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","No 128 cipher limit bug","",""
"SSLv2","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","OK","not offered","",""
"SSLv3","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","OK","not offered","",""
"TLS1","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","LOW","offered (deprecated)","",""
"TLS1_1","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","LOW","offered (deprecated)","",""
"TLS1_2","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","OK","offered","",""
"TLS1_3","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","http/1.1","",""
"cipherlist_NULL","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","OK","not offered","","CWE-327"
"cipherlist_LOW","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","OK","offered","",""
"cipherlist_STRONG","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","OK","offered","",""
"cipher_order","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","OK","server","",""
"protocol_negotiated","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_1","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_2","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","OK","offered","",""
"FS_ciphers","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","valid for 86400 seconds only (<daily)","",""
"SSL_sessionID_support","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","yes","",""
"sessionresumption_ticket","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","supported","",""
"sessionresumption_ID","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","supported","",""
"TLS_timestamp","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","random","",""
"cert_compression","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","N/A","",""
"clientAuth","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","none","",""
"cert_numbers","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","1","",""
"cert_signatureAlgorithm","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","OK","SHA256 with RSA","",""
"cert_keySize","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","04DF71E4C57FA8569E4BA085F1A1AF5DE92C","",""
"cert_serialNumberLen","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","18","",""
"cert_fingerprintSHA1","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","BE4FF63F208799F6224BC0996085F81E4FFA54EE","",""
"cert_fingerprintSHA256","analytics.trackdechets.beta.gouv.fr/51.158.77.109","443","INFO","C549B1116B91A6C7F0FBB1F87D7E518431F12C070EEAAE0F3254500AAF8B8EAD","",""
