"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","HTTP","",""
"pre_128cipher","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","No 128 cipher limit bug","",""
"SSLv2","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","not offered","",""
"SSLv3","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","not offered","",""
"TLS1","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","not offered","",""
"TLS1_1","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","not offered","",""
"TLS1_2","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","offered","",""
"TLS1_3","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","offered with final","",""
"ALPN_HTTP2","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","h2","",""
"ALPN","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","http/1.1","",""
"cipherlist_NULL","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","not offered","","CWE-327"
"cipherlist_LOW","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","not offered","",""
"cipherlist_STRONG","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","offered","",""
"cipher_order","api.trackdechets.beta.gouv.fr/51.159.161.98","443","HIGH","NOT a cipher order configured","",""
"protocol_negotiated","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)  (limited sense as client will pick)","",""
"cipher-tls1_2_xc030","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"FS","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","offered","",""
"FS_ciphers","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","yes","",""
"sessionresumption_ticket","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","not supported","",""
"sessionresumption_ID","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","supported","",""
"TLS_timestamp","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","random","",""
"clientAuth","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","none","",""
"cert_numbers","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","1","",""
"cert_signatureAlgorithm","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","SHA256 with RSA","",""
"cert_keySize","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","03472AA36CEC3A1A1B080F355A2A099A4DE0","",""
"cert_fingerprintSHA1","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","B4B548ED3E3EF4179296F84F4E6D663E53F27752","",""
"cert_fingerprintSHA256","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","3A8057DD8D4D938978402671A774E5253C6E75B34246BB005F8560547D413DA6","",""
"cert","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","-----BEGIN CERTIFICATE----- MIIGPzCCBSegAwIBAgISA0cqo2zsOhobCA81WioJmk3gMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMTA1MDgxNTE2MjhaFw0yMTA4MDYxNTE2MjhaMCgxJjAkBgNVBAMT HWFwaS50cmFja2RlY2hldHMuYmV0YS5nb3V2LmZyMIICIjANBgkqhkiG9w0BAQEF AAOCAg8AMIICCgKCAgEApofIxLFbKxd/BxBjunxoy2NLg8R7PM175V909DvZ0e5I uXyV7+/4TQm+TcwMsslFvOPLVcqOij6Vcd47P62CYG5xCnVO1GfNmRCkSsosh2iD S0id4RCm7CD5XPhcwHbKbJZiyXJJVn+X/LANRYGuEi8oga/ZObSalkDSTAgCWeWz A9C3HbSlH6R80YX9DMyMG9cUyVoeDPN3ZjSw6DIJQSqCLYVqcT86TC1KfWJkmgUk bEjHvB1z6UhMMWMy9MD5FEZvzVCRSiqdXNXcEQJsRXMXcbQ38TYWP9F6dEHP0oYg 1hoGn5hAjmn+5oz6CYcsIvouaRCETrJrutQVanBlzIcKRvqVUEj9cwI19XCxDYAP yq28w4juiOLOftjCIJtI5K4k9sPtwEgJOViHg4EedNm49CnmRwNYwkgUw8tzOwEX Bq5Vgee71lPL4VXxvqogSGfeWHBvOsbMB5XXlRyMbc58dLO3uJ5LJoNTHSPhNeb+ 8BE4LgFZWayr9AlnayNH/YdSxGNepMsx0Qks4SSMz7uostoYOFct4LKIsaHmW610 bMnIHIfneGH53CnudSdqKdmRJJ60jH68GaEMN3igR77bRUo3vrucn1LYJibk2eR5 8OyeHDbZ6zsMYISyhgqPpTwR9722ffsLXlJ/9WOtxEAbZ1CP9hOWS3eP/QB6jB0C AwEAAaOCAlcwggJTMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcD AQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUTAn16DzjOwwVcGVx 1FsH6ODdrZgwHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYB BQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYI KwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wKAYDVR0RBCEwH4IdYXBp LnRyYWNrZGVjaGV0cy5iZXRhLmdvdXYuZnIwTAYDVR0gBEUwQzAIBgZngQwBAgEw NwYLKwYBBAGC3xMBAQEwKDAmBggrBgEFBQcCARYaaHR0cDovL2Nwcy5sZXRzZW5j cnlwdC5vcmcwggEDBgorBgEEAdZ5AgQCBIH0BIHxAO8AdQBElGUusO7Or8RAB9io /ijA2uaCvtjLMbU/0zOWtbaBqAAAAXlMxA/2AAAEAwBGMEQCIAnlp/D48nyEMjAa yPdkdqn2EbGiMvBRpksE8nC4OG+8AiADaLKopUX+zszNiz7uXOQNDY9cXBgLfmib JTfTyzqyugB2APZclC/RdzAiFFQYCDCUVo7jTRMZM7/fDC8gC8xO8WTjAAABeUzE D/AAAAQDAEcwRQIhAOCVAG+xGyK0cMEgAYR35zuyPIEg1kZqebmPuEC4T0MzAiA3 F5XrR+rrKutaB1NIpe3vpYOBKzsNVVWa0Kpkng7wyDANBgkqhkiG9w0BAQsFAAOC AQEAWVC8+zLolANGOvp4gcudqVv0m9oz3aAOzbyxVHTMUw7u6kcANtlP0dUgZuV/ 296kkuacjJUhb/qTJgMsdTOxAMCiYH8pzv+2oRIUU5TODxNAlPOUUM6+rrzV15MH cA8kh8eGHu1CeGzjS6zIWfS44hMmWsBWVaYNSEeQlrobKRfaPyRLcLgfA6kUkW6w VgDI6oOaMFZqDsCJ0zFtGV+W/EegGN71pmtZ87P1W3uO+MU0YaSsZ3Igo35b+EL2 jgB8w8algEu9qNNMJndo+1q9fW1SuvRg49qZo1l42lWWvd1Et/99IPkFZdpVRDdP TkAi6v+lMJSvJaYaNdcJE0qwbQ== -----END CERTIFICATE-----","",""
"cert_commonName","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","api.trackdechets.beta.gouv.fr","",""
"cert_commonName_wo_SNI","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","letsencrypt-nginx-proxy-companion","",""
"cert_subjectAltName","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","api.trackdechets.beta.gouv.fr","",""
"cert_trust","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","passed.","",""
"cert_certificatePolicies_EV","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","no","",""
"cert_expirationStatus","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","61 >= 30 days","",""
"cert_notBefore","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","2021-05-08 15:16","",""
"cert_notAfter","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","2021-08-06 15:16","",""
"cert_extlifeSpan","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","not present","",""
"cert_crlDistributionPoints","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","--","",""
"cert_ocspURL","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","offered","",""
"cert_ocspRevoked","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","not revoked","",""
"cert_mustStapleExtension","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","--","",""
"DNS_CAArecord","api.trackdechets.beta.gouv.fr/51.159.161.98","443","LOW","--","",""
"certificate_transparency","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","yes (certificate extension)","",""
"certs_countServer","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","3","",""
"certs_list_ordering_problem","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","no","",""
"cert_caIssuers","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","R3 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","-----BEGIN CERTIFICATE----- MIIFFjCCAv6gAwIBAgIRAJErCErPDBinU/bWLiWnX1owDQYJKoZIhvcNAQELBQAw TzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2Vh cmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjAwOTA0MDAwMDAw WhcNMjUwOTE1MTYwMDAwWjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3Mg RW5jcnlwdDELMAkGA1UEAxMCUjMwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEK AoIBAQC7AhUozPaglNMPEuyNVZLD+ILxmaZ6QoinXSaqtSu5xUyxr45r+XXIo9cP R5QUVTVXjJ6oojkZ9YI8QqlObvU7wy7bjcCwXPNZOOftz2nwWgsbvsCUJCWH+jdx sxPnHKzhm+/b5DtFUkWWqcFTzjTIUu61ru2P3mBw4qVUq7ZtDpelQDRrK9O8Zutm NHz6a4uPVymZ+DAXXbpyb/uBxa3Shlg9F8fnCbvxK/eG3MHacV3URuPMrSXBiLxg Z3Vms/EY96Jc5lP/Ooi2R6X/ExjqmAl3P51T+c8B5fWmcBcUr2Ok/5mzk53cU6cG /kiFHaFpriV1uxPMUgP17VGhi9sVAgMBAAGjggEIMIIBBDAOBgNVHQ8BAf8EBAMC AYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYB Af8CAQAwHQYDVR0OBBYEFBQusxe3WFbLrlAJQOYfr52LFMLGMB8GA1UdIwQYMBaA FHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcw AoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzAnBgNVHR8EIDAeMBygGqAYhhZodHRw Oi8veDEuYy5sZW5jci5vcmcvMCIGA1UdIAQbMBkwCAYGZ4EMAQIBMA0GCysGAQQB gt8TAQEBMA0GCSqGSIb3DQEBCwUAA4ICAQCFyk5HPqP3hUSFvNVneLKYY611TR6W PTNlclQtgaDqw+34IL9fzLdwALduO/ZelN7kIJ+m74uyA+eitRY8kc607TkC53wl ikfmZW4/RvTZ8M6UK+5UzhK8jCdLuMGYL6KvzXGRSgi3yLgjewQtCPkIVz6D2QQz CkcheAmCJ8MqyJu5zlzyZMjAvnnAT45tRAxekrsu94sQ4egdRCnbWSDtY7kh+BIm lJNXoB1lBMEKIq4QDUOXoRgffuDghje1WrG9ML+Hbisq/yFOGwXD9RiX8F6sw6W4 avAuvDszue5L3sz85K+EC4Y/wFVDNvZo4TYXao6Z0f+lQKc0t8DQYzk1OXVu8rp2 yJMC6alLbBfODALZvYH7n7do1AZls4I9d1P4jnkDrQoxB3UqQ9hVl3LEKQ73xF1O yK5GhDDX8oVfGKF5u+decIsH4YaTw7mP3GFxJSqv3+0lUFJoi5Lc5da149p90Ids hCExroL1+7mryIkXPeFM5TgO9r0rvZaBFOvV2z0gp35Z0+L4WPlbuEjN/lxPFin+ HlUjr8gRsI3qfJOQFy/9rKIJR0Y/8Omwt/8oTWgy1mdeHmmjk7j1nYsvC9JSQ6Zv MldlTTKB3zhThV1+XWYp6rjd5JW1zbVWEkLNxE7GJThEUG3szgBVGP7pSWTUTsqX nLRbwHOoq7hHwg== -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","67ADD1166B020AE61B8F5FC96813C04C2AA589960796865572A3C7E737613DFD","",""
"intermediate_cert_notBefore <#1>","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","2020-09-04 00:00","",""
"intermediate_cert_notAfter <#1>","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","2025-09-15 16:00","",""
"intermediate_cert_expiration <#1>","api.trackdechets.beta.gouv.fr/51.159.161.98","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","api.trackdechets.beta.gouv.fr/51.159.161.98","443","INFO","R3 <-- ISRG Root X1","",""
