"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","apilos.beta.gouv.fr/148.253.75.120","443","INFO","HTTP","",""
"pre_128cipher","apilos.beta.gouv.fr/148.253.75.120","443","INFO","No 128 cipher limit bug","",""
"SSLv2","apilos.beta.gouv.fr/148.253.75.120","443","OK","not offered","",""
"SSLv3","apilos.beta.gouv.fr/148.253.75.120","443","OK","not offered","",""
"TLS1","apilos.beta.gouv.fr/148.253.75.120","443","INFO","not offered","",""
"TLS1_1","apilos.beta.gouv.fr/148.253.75.120","443","INFO","not offered","",""
"TLS1_2","apilos.beta.gouv.fr/148.253.75.120","443","OK","offered","",""
"TLS1_3","apilos.beta.gouv.fr/148.253.75.120","443","OK","offered with final","",""
"ALPN_HTTP2","apilos.beta.gouv.fr/148.253.75.120","443","OK","h2","",""
"ALPN","apilos.beta.gouv.fr/148.253.75.120","443","INFO","http/1.1","",""
"cipherlist_NULL","apilos.beta.gouv.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","apilos.beta.gouv.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","apilos.beta.gouv.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_LOW","apilos.beta.gouv.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","apilos.beta.gouv.fr/148.253.75.120","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","apilos.beta.gouv.fr/148.253.75.120","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","apilos.beta.gouv.fr/148.253.75.120","443","INFO","not offered","",""
"cipherlist_STRONG_FS","apilos.beta.gouv.fr/148.253.75.120","443","OK","offered","",""
"cipher_order-tls1_2","apilos.beta.gouv.fr/148.253.75.120","443","OK","server","",""
"cipherorder_TLSv1_2","apilos.beta.gouv.fr/148.253.75.120","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","apilos.beta.gouv.fr/148.253.75.120","443","OK","server","",""
"FS","apilos.beta.gouv.fr/148.253.75.120","443","OK","offered","",""
"FS_ciphers","apilos.beta.gouv.fr/148.253.75.120","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","apilos.beta.gouv.fr/148.253.75.120","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","apilos.beta.gouv.fr/148.253.75.120","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","apilos.beta.gouv.fr/148.253.75.120","443","INFO","valid for 300 seconds only (<daily)","",""
