"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","HTTP","",""
"pre_128cipher","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","No 128 cipher limit bug","",""
"SSLv2","aquapreneur.beta.gouv.fr/80.247.13.145","443","OK","not offered","",""
"SSLv3","aquapreneur.beta.gouv.fr/80.247.13.145","443","OK","not offered","",""
"TLS1","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","not offered","",""
"TLS1_1","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","not offered","",""
"TLS1_2","aquapreneur.beta.gouv.fr/80.247.13.145","443","OK","offered","",""
"TLS1_3","aquapreneur.beta.gouv.fr/80.247.13.145","443","OK","offered with final","",""
"ALPN_HTTP2","aquapreneur.beta.gouv.fr/80.247.13.145","443","OK","h2","",""
"ALPN","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","http/1.1","",""
"cipherlist_NULL","aquapreneur.beta.gouv.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","aquapreneur.beta.gouv.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","aquapreneur.beta.gouv.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_LOW","aquapreneur.beta.gouv.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","not offered","",""
"cipherlist_STRONG_FS","aquapreneur.beta.gouv.fr/80.247.13.145","443","OK","offered","",""
"cipher_order-tls1_2","aquapreneur.beta.gouv.fr/80.247.13.145","443","OK","server","",""
"cipherorder_TLSv1_2","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","aquapreneur.beta.gouv.fr/80.247.13.145","443","OK","server","",""
"FS","aquapreneur.beta.gouv.fr/80.247.13.145","443","OK","offered","",""
"FS_ciphers","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","aquapreneur.beta.gouv.fr/80.247.13.145","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","yes","",""
"sessionresumption_ticket","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","not supported","",""
"sessionresumption_ID","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","not supported","",""
"TLS_timestamp","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","random","",""
"certificate_compression","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","none","",""
"clientAuth","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","none","",""
"cert_numbers","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","1","",""
"cert_signatureAlgorithm","aquapreneur.beta.gouv.fr/80.247.13.145","443","OK","SHA256 with RSA","",""
"cert_keySize","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","05ECDFC1764834B2FD801D08BFD30E9AAF32","",""
"cert_serialNumberLen","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","18","",""
"cert_fingerprintSHA1","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","9406062972DB5736B9C0FF53153500FB01890913","",""
"cert_fingerprintSHA256","aquapreneur.beta.gouv.fr/80.247.13.145","443","INFO","A8602BA4C40CD21FBD8C239AD885B19AEA568C57E4A1218AFE60FFA616E0833A","",""
