"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","INFO","HTTP","",""
"pre_128cipher","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","INFO","No 128 cipher limit bug","",""
"SSLv2","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","OK","not offered","",""
"SSLv3","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","OK","not offered","",""
"TLS1","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","INFO","not offered","",""
"TLS1_1","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","INFO","not offered","",""
"TLS1_2","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","OK","offered","",""
"TLS1_3","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","OK","offered with final","",""
"ALPN_HTTP2","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","OK","h2","",""
"ALPN","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","INFO","http/1.1","",""
"cipherlist_NULL","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","OK","not offered","","CWE-327"
"cipherlist_LOW","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","INFO","not offered","",""
"cipherlist_STRONG_FS","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","OK","offered","",""
"cipher_order-tls1_2","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","OK","server","",""
"cipherorder_TLSv1_2","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","OK","server","",""
"FS","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","OK","offered","",""
"FS_ciphers","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","INFO","yes","",""
"sessionresumption_ticket","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","INFO","not supported","",""
"sessionresumption_ID","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","INFO","not supported","",""
"TLS_timestamp","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","INFO","random","",""
"certificate_compression","attestation.covoiturage.beta.gouv.fr/51.159.8.177","443","INFO","none","",""
