"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","camino.beta.gouv.fr/194.5.170.186","443","INFO","HTTP","",""
"pre_128cipher","camino.beta.gouv.fr/194.5.170.186","443","INFO","No 128 cipher limit bug","",""
"SSLv2","camino.beta.gouv.fr/194.5.170.186","443","OK","not offered","",""
"SSLv3","camino.beta.gouv.fr/194.5.170.186","443","OK","not offered","",""
"TLS1","camino.beta.gouv.fr/194.5.170.186","443","INFO","not offered","",""
"TLS1_1","camino.beta.gouv.fr/194.5.170.186","443","INFO","not offered","",""
"TLS1_2","camino.beta.gouv.fr/194.5.170.186","443","OK","offered","",""
"TLS1_3","camino.beta.gouv.fr/194.5.170.186","443","OK","offered with final","",""
"ALPN_HTTP2","camino.beta.gouv.fr/194.5.170.186","443","OK","h2","",""
"ALPN","camino.beta.gouv.fr/194.5.170.186","443","INFO","http/1.1","",""
"cipherlist_NULL","camino.beta.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","camino.beta.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","camino.beta.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_LOW","camino.beta.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","camino.beta.gouv.fr/194.5.170.186","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","camino.beta.gouv.fr/194.5.170.186","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","camino.beta.gouv.fr/194.5.170.186","443","INFO","not offered","",""
"cipherlist_STRONG_FS","camino.beta.gouv.fr/194.5.170.186","443","OK","offered","",""
"cipher_order-tls1_2","camino.beta.gouv.fr/194.5.170.186","443","OK","server","",""
"cipherorder_TLSv1_2","camino.beta.gouv.fr/194.5.170.186","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","camino.beta.gouv.fr/194.5.170.186","443","OK","server","",""
"FS","camino.beta.gouv.fr/194.5.170.186","443","OK","offered","",""
"FS_ciphers","camino.beta.gouv.fr/194.5.170.186","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","camino.beta.gouv.fr/194.5.170.186","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","camino.beta.gouv.fr/194.5.170.186","443","OK","prime256v1 secp384r1 secp521r1","",""
"scanProblem","camino.beta.gouv.fr/194.5.170.186","443","FATAL","repeated TCP connect problems, giving up","",""
