"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","dossierfacile.fr/99.84.98.18","443","INFO","HTTP","",""
"pre_128cipher","dossierfacile.fr/99.84.98.18","443","INFO","No 128 cipher limit bug","",""
"SSLv2","dossierfacile.fr/99.84.98.18","443","OK","not offered","",""
"SSLv3","dossierfacile.fr/99.84.98.18","443","OK","not offered","",""
"TLS1","dossierfacile.fr/99.84.98.18","443","INFO","not offered","",""
"TLS1_1","dossierfacile.fr/99.84.98.18","443","INFO","is not offered","",""
"TLS1_2","dossierfacile.fr/99.84.98.18","443","OK","offered","",""
"TLS1_3","dossierfacile.fr/99.84.98.18","443","OK","offered with final","",""
"ALPN_HTTP2","dossierfacile.fr/99.84.98.18","443","OK","h2","",""
"ALPN","dossierfacile.fr/99.84.98.18","443","INFO","http/1.1","",""
"cipherlist_NULL","dossierfacile.fr/99.84.98.18","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","dossierfacile.fr/99.84.98.18","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","dossierfacile.fr/99.84.98.18","443","OK","not offered","","CWE-327"
"cipherlist_LOW","dossierfacile.fr/99.84.98.18","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","dossierfacile.fr/99.84.98.18","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","dossierfacile.fr/99.84.98.18","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","dossierfacile.fr/99.84.98.18","443","INFO","not offered","",""
"cipherlist_STRONG","dossierfacile.fr/99.84.98.18","443","OK","offered","",""
"cipher_order","dossierfacile.fr/99.84.98.18","443","OK","server","",""
"protocol_negotiated","dossierfacile.fr/99.84.98.18","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","dossierfacile.fr/99.84.98.18","443","OK","TLS_AES_128_GCM_SHA256, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","dossierfacile.fr/99.84.98.18","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","dossierfacile.fr/99.84.98.18","443","OK","offered","",""
"FS_ciphers","dossierfacile.fr/99.84.98.18","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","dossierfacile.fr/99.84.98.18","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","dossierfacile.fr/99.84.98.18","443","INFO","'server name/#0' 'EC point formats/#11' 'renegotiation info/#65281' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'status request/#5' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","dossierfacile.fr/99.84.98.18","443","LOW","valid for 216000 seconds (>daily)","",""
"SSL_sessionID_support","dossierfacile.fr/99.84.98.18","443","INFO","yes","",""
"sessionresumption_ticket","dossierfacile.fr/99.84.98.18","443","INFO","supported","",""
"sessionresumption_ID","dossierfacile.fr/99.84.98.18","443","INFO","not supported","",""
"TLS_timestamp","dossierfacile.fr/99.84.98.18","443","INFO","random","",""
"clientAuth","dossierfacile.fr/99.84.98.18","443","INFO","none","",""
"cert_numbers","dossierfacile.fr/99.84.98.18","443","INFO","1","",""
"cert_signatureAlgorithm","dossierfacile.fr/99.84.98.18","443","OK","SHA256 with RSA","",""
"cert_keySize","dossierfacile.fr/99.84.98.18","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","dossierfacile.fr/99.84.98.18","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","dossierfacile.fr/99.84.98.18","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","dossierfacile.fr/99.84.98.18","443","INFO","06B99AF37F4067CEC5697743255F456E","",""
"cert_fingerprintSHA1","dossierfacile.fr/99.84.98.18","443","INFO","920CB1B0825477941B07EA188400AFA7817B6E56","",""
"cert_fingerprintSHA256","dossierfacile.fr/99.84.98.18","443","INFO","AC7201E5F7088D6696DEC7DA91066C28FBB60AD9F95EAB0FE14D46616A534B8F","",""
"cert","dossierfacile.fr/99.84.98.18","443","INFO","-----BEGIN CERTIFICATE----- MIIFWzCCBEOgAwIBAgIQBrma839AZ87FaXdDJV9FbjANBgkqhkiG9w0BAQsFADBG MQswCQYDVQQGEwJVUzEPMA0GA1UEChMGQW1hem9uMRUwEwYDVQQLEwxTZXJ2ZXIg Q0EgMUIxDzANBgNVBAMTBkFtYXpvbjAeFw0yMTAzMjIwMDAwMDBaFw0yMjA0MjAy MzU5NTlaMBsxGTAXBgNVBAMTEGRvc3NpZXJmYWNpbGUuZnIwggEiMA0GCSqGSIb3 DQEBAQUAA4IBDwAwggEKAoIBAQCxgtQcHVCARiEqYWtt5iOALLxhru9NrcPI0Wlh A9E6MBSqGl9lgNSlsxJmLraJkP0eK1moT30MCYmDOI5SxldtoWo/rdsoB9EQBmj5 +0gbQe5Gp9eqF6rsOQBi4y8+WbxuzDkSTdWPsXntDKyl96XDXM/ifD+jcU7fu/yx dW62JbhHmfmzUWrofnti61tFRA2jlm4AoDVVbyM927uATCVcMJ5BuTN5icQ95EZa sNNRIyjNZenXVFIlXY/TQ6dFai8n6HpRd/DPTMqYX+/HzFz0IUC0xfiJsbZm97y/ VERWZN0dCsMEZlmCGI8n+sb6awWqE/WdSeWYMxPALBLJP+QFAgMBAAGjggJuMIIC ajAfBgNVHSMEGDAWgBRZpGYGUqB7lZI8o5QHJ5Z0W/k90DAdBgNVHQ4EFgQUv1iJ vcLxwwQ5WTUznZqh7WeA/5EwGwYDVR0RBBQwEoIQZG9zc2llcmZhY2lsZS5mcjAO BgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMDsG A1UdHwQ0MDIwMKAuoCyGKmh0dHA6Ly9jcmwuc2NhMWIuYW1hem9udHJ1c3QuY29t L3NjYTFiLmNybDATBgNVHSAEDDAKMAgGBmeBDAECATB1BggrBgEFBQcBAQRpMGcw LQYIKwYBBQUHMAGGIWh0dHA6Ly9vY3NwLnNjYTFiLmFtYXpvbnRydXN0LmNvbTA2 BggrBgEFBQcwAoYqaHR0cDovL2NydC5zY2ExYi5hbWF6b250cnVzdC5jb20vc2Nh MWIuY3J0MAwGA1UdEwEB/wQCMAAwggEDBgorBgEEAdZ5AgQCBIH0BIHxAO8AdgAp eb7wnjk5IfBWc59jpXflvld9nGAK+PlNXSZcJV3HhAAAAXhXqaAGAAAEAwBHMEUC IEUl/vltn2/KKHtTcYECCfplpoFjinjdFaL7j5+7jyHfAiEA5BBt1RezxQqsudBu ELMg4UD9fne/mjZqaZ0/WzreoLIAdQAiRUUHWVUkVpY/oS/x922G4CMmY63AS39d xoNcbuIPAgAAAXhXqaBYAAAEAwBGMEQCIEO7m6CSW90QLf0c8nWD4yhcxnXaxmSB VMlYl87CfBJfAiAAqiqOa0LQiWm7l/capjQYe/pvvXH7E+31Cm4hwzb2LDANBgkq hkiG9w0BAQsFAAOCAQEAGm8L2UPRMGj36ddhMjOu/ZG753VXRt35hrJ4QxglvPHn sUNusJv+Q0mz9UA8JajLh14DVBe+/+C8Y+UztCtAHTUVYS2MVTLfAnwQjFyq+Zy8 fT6H+fv59SFPAGWgpDi3q9FX6QZ/WdWIZdsePwGm/cC5GSafH5i2L94ghPqgTdKH qwrLAYUQanYA5ZK3Tc9B4F3gxBp5fJyk7LO0VUNLccDyJtLk9iMAAuCp0DyH5uxp 2vK4wz7QG/LpTl/BvzUvMEt58AcFDKtWl4l/qpX/nm9AyuhvJ3gC0//2xtkBZfFo LzjFKdYAY/OCxgDanCkPUlfEZjD0moh8iWs4sreVnA== -----END CERTIFICATE-----","",""
"cert_commonName","dossierfacile.fr/99.84.98.18","443","OK","dossierfacile.fr","",""
"cert_commonName_wo_SNI","dossierfacile.fr/99.84.98.18","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","dossierfacile.fr/99.84.98.18","443","INFO","dossierfacile.fr","",""
"cert_trust","dossierfacile.fr/99.84.98.18","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","dossierfacile.fr/99.84.98.18","443","OK","passed.","",""
"cert_certificatePolicies_EV","dossierfacile.fr/99.84.98.18","443","INFO","no","",""
"cert_expirationStatus","dossierfacile.fr/99.84.98.18","443","OK","380 >= 60 days","",""
"cert_notBefore","dossierfacile.fr/99.84.98.18","443","INFO","2021-03-22 00:00","",""
"cert_notAfter","dossierfacile.fr/99.84.98.18","443","OK","2022-04-20 23:59","",""
"cert_extlifeSpan","dossierfacile.fr/99.84.98.18","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","dossierfacile.fr/99.84.98.18","443","INFO","not present","",""
"cert_crlDistributionPoints","dossierfacile.fr/99.84.98.18","443","INFO","http://crl.sca1b.amazontrust.com/sca1b.crl","",""
"cert_ocspURL","dossierfacile.fr/99.84.98.18","443","INFO","http://ocsp.sca1b.amazontrust.com","",""
"OCSP_stapling","dossierfacile.fr/99.84.98.18","443","LOW","not offered","",""
"cert_mustStapleExtension","dossierfacile.fr/99.84.98.18","443","INFO","--","",""
"DNS_CAArecord","dossierfacile.fr/99.84.98.18","443","LOW","--","",""
"certificate_transparency","dossierfacile.fr/99.84.98.18","443","OK","yes (certificate extension)","",""
