"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","HTTP","",""
"pre_128cipher","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","No 128 cipher limit bug","",""
"SSLv2","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","OK","not offered","",""
"SSLv3","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","OK","not offered","",""
"TLS1","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_1","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_2","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","OK","offered","",""
"TLS1_3","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","OK","offered with final","",""
"ALPN_HTTP2","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","OK","h2","",""
"ALPN","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","http/1.1","",""
"cipherlist_NULL","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_LOW","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"cipherlist_STRONG","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","OK","offered","",""
"cipher_order","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","OK","server","",""
"protocol_negotiated","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","OK","offered","",""
"FS_ciphers","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","yes","",""
"sessionresumption_ticket","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","not supported","",""
"sessionresumption_ID","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","not supported","",""
"TLS_timestamp","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","random","",""
"clientAuth","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","none","",""
"cert_numbers","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","1","",""
"cert_signatureAlgorithm","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","OK","SHA256 with RSA","",""
"cert_keySize","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","03583D374C31D265A5040476B7A52A1F0782","",""
"cert_fingerprintSHA1","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","5E1BA0ABBD540AFA7A52956323DAF73BA44EFC06","",""
"cert_fingerprintSHA256","france-chaleur-urbaine.beta.gouv.fr/109.232.236.90","443","INFO","FF67F1DE1C8666395F6EDE3E8D33992D51A410FA1E263BCDAE93394308AAEFA2","",""
