"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","locataire.dossierfacile.fr/99.86.230.18","443","INFO","HTTP","",""
"pre_128cipher","locataire.dossierfacile.fr/99.86.230.18","443","INFO","No 128 cipher limit bug","",""
"SSLv2","locataire.dossierfacile.fr/99.86.230.18","443","OK","not offered","",""
"SSLv3","locataire.dossierfacile.fr/99.86.230.18","443","OK","not offered","",""
"TLS1","locataire.dossierfacile.fr/99.86.230.18","443","INFO","not offered","",""
"TLS1_1","locataire.dossierfacile.fr/99.86.230.18","443","INFO","not offered","",""
"TLS1_2","locataire.dossierfacile.fr/99.86.230.18","443","OK","offered","",""
"TLS1_3","locataire.dossierfacile.fr/99.86.230.18","443","OK","offered with final","",""
"ALPN_HTTP2","locataire.dossierfacile.fr/99.86.230.18","443","OK","h2","",""
"ALPN","locataire.dossierfacile.fr/99.86.230.18","443","INFO","http/1.1","",""
"cipherlist_NULL","locataire.dossierfacile.fr/99.86.230.18","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","locataire.dossierfacile.fr/99.86.230.18","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","locataire.dossierfacile.fr/99.86.230.18","443","OK","not offered","","CWE-327"
"cipherlist_LOW","locataire.dossierfacile.fr/99.86.230.18","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","locataire.dossierfacile.fr/99.86.230.18","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","locataire.dossierfacile.fr/99.86.230.18","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","locataire.dossierfacile.fr/99.86.230.18","443","INFO","not offered","",""
"cipherlist_STRONG","locataire.dossierfacile.fr/99.86.230.18","443","OK","offered","",""
"cipher_order","locataire.dossierfacile.fr/99.86.230.18","443","OK","server","",""
"protocol_negotiated","locataire.dossierfacile.fr/99.86.230.18","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","locataire.dossierfacile.fr/99.86.230.18","443","OK","TLS_AES_128_GCM_SHA256, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","locataire.dossierfacile.fr/99.86.230.18","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","locataire.dossierfacile.fr/99.86.230.18","443","OK","offered","",""
