"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mobilic.beta.gouv.fr/109.232.236.90","443","INFO","HTTP","",""
"pre_128cipher","mobilic.beta.gouv.fr/109.232.236.90","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mobilic.beta.gouv.fr/109.232.236.90","443","OK","not offered","",""
"SSLv3","mobilic.beta.gouv.fr/109.232.236.90","443","OK","not offered","",""
"TLS1","mobilic.beta.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_1","mobilic.beta.gouv.fr/109.232.236.90","443","INFO","is not offered","",""
"TLS1_2","mobilic.beta.gouv.fr/109.232.236.90","443","OK","offered","",""
"TLS1_3","mobilic.beta.gouv.fr/109.232.236.90","443","OK","offered with final","",""
"ALPN_HTTP2","mobilic.beta.gouv.fr/109.232.236.90","443","OK","h2","",""
"ALPN","mobilic.beta.gouv.fr/109.232.236.90","443","INFO","http/1.1","",""
"cipherlist_NULL","mobilic.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mobilic.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mobilic.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mobilic.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mobilic.beta.gouv.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","mobilic.beta.gouv.fr/109.232.236.90","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","mobilic.beta.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"cipherlist_STRONG","mobilic.beta.gouv.fr/109.232.236.90","443","OK","offered","",""
"cipher_order","mobilic.beta.gouv.fr/109.232.236.90","443","OK","server","",""
"protocol_negotiated","mobilic.beta.gouv.fr/109.232.236.90","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","mobilic.beta.gouv.fr/109.232.236.90","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","mobilic.beta.gouv.fr/109.232.236.90","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","mobilic.beta.gouv.fr/109.232.236.90","443","OK","offered","",""
"FS_ciphers","mobilic.beta.gouv.fr/109.232.236.90","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","mobilic.beta.gouv.fr/109.232.236.90","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","mobilic.beta.gouv.fr/109.232.236.90","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
