"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","HTTP","",""
"pre_128cipher","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","No 128 cipher limit bug","",""
"SSLv2","oilhi.beta.gouv.fr/34.149.87.45","443","OK","not offered","",""
"SSLv3","oilhi.beta.gouv.fr/34.149.87.45","443","OK","not offered","",""
"TLS1","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","not offered","",""
"TLS1_1","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","not offered","",""
"TLS1_2","oilhi.beta.gouv.fr/34.149.87.45","443","OK","offered","",""
"TLS1_3","oilhi.beta.gouv.fr/34.149.87.45","443","OK","offered with final","",""
"ALPN_HTTP2","oilhi.beta.gouv.fr/34.149.87.45","443","OK","h2","",""
"ALPN","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","http/1.1grpc-exp","",""
"cipherlist_NULL","oilhi.beta.gouv.fr/34.149.87.45","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","oilhi.beta.gouv.fr/34.149.87.45","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","oilhi.beta.gouv.fr/34.149.87.45","443","OK","not offered","","CWE-327"
"cipherlist_LOW","oilhi.beta.gouv.fr/34.149.87.45","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","oilhi.beta.gouv.fr/34.149.87.45","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","oilhi.beta.gouv.fr/34.149.87.45","443","OK","offered","",""
"cipherlist_STRONG_FS","oilhi.beta.gouv.fr/34.149.87.45","443","OK","offered","",""
"cipher_order-tls1_2","oilhi.beta.gouv.fr/34.149.87.45","443","OK","server","",""
"cipherorder_TLSv1_2","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","oilhi.beta.gouv.fr/34.149.87.45","443","OK","server -- TLS 1.3 client determined","",""
"FS","oilhi.beta.gouv.fr/34.149.87.45","443","OK","offered","",""
"FS_ciphers","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","oilhi.beta.gouv.fr/34.149.87.45","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","yes","",""
"sessionresumption_ticket","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","supported","",""
"sessionresumption_ID","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","not supported","",""
"TLS_timestamp","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","random","",""
"certificate_compression","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","none","",""
"clientAuth","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","none","",""
"cert_numbers","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","1","",""
"cert_signatureAlgorithm","oilhi.beta.gouv.fr/34.149.87.45","443","OK","SHA256 with RSA","",""
"cert_keySize","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","04D9090CB646E33258AB6D84F43806BF5E79","",""
"cert_serialNumberLen","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","18","",""
"cert_fingerprintSHA1","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","A175CA721731CA92B7743417EED0294698F505E8","",""
"cert_fingerprintSHA256","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","F24D85F614129926324669BF16A3A084A7370BCC4FD032D1E55849FA8EB70C37","",""
"cert","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFCzCCA/OgAwIBAgISBNkJDLZG4zJYq22E9DgGv155MA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTEwHhcNMjQxMTA3MDkwNjU1WhcNMjUwMjA1MDkwNjU0WjAdMRswGQYDVQQDExJvaWxoaS5iZXRhLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCSWJtd2r9t8c6xzTC3mFVMq9/aCT0z7XVHd5xRAnpX4QJSPrKH/nlCtTIx+2ER7FPzmwFJoFLGYnaP6Qkbe3Yxv5FiFECrjDDksQEhrFlaWTuM8FLpP2alBdsz/+atzVkvVTgvJg1Nqs5cerJu92kyl3VsABOWRPNuOtOMqjZj9sPcpLs9v+YzYMy3GHpfDVn/z1Fz4IAf6VLJqouNW6COyux75Be4FFDh1WjyvEXGzjlJJ4U8//Q3TbvG+8NBy4mX32ZgR2QAkfNIO1GcEUh3zZikN9mTOjERry0wbT2XpExVsye355Slul3j4hNg0zLwY1gS8nBSUjxjmHQ+70VFAgMBAAGjggItMIICKTAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFAQsfGn1Nk4Qm4uD//t0dTW9RBS+MB8GA1UdIwQYMBaAFMXPRqTq9MPAemyVxC2wXpIvJuO5MFcGCCsGAQUFBwEBBEswSTAiBggrBgEFBQcwAYYWaHR0cDovL3IxMS5vLmxlbmNyLm9yZzAjBggrBgEFBQcwAoYXaHR0cDovL3IxMS5pLmxlbmNyLm9yZy8wNQYDVR0RBC4wLIISb2lsaGkuYmV0YS5nb3V2LmZyghZ3d3cub2lsaGkuYmV0YS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBAwYKKwYBBAHWeQIEAgSB9ASB8QDvAHUAouMK5EXvva2bfjjtR2d3U9eCW4SU1yteGyzEuVCkR+cAAAGTBhX/3QAABAMARjBEAiARlZ3mBLouF9UzVU6VH2hVHE9wS+cxkCcWg0iyz4zWdQIgHZiwu0qrEoiihNDU7kewv2gwM9X7+/4rtGCeMjj9pcAAdgDPEVbu1S58r/OHW9lpLpvpGnFnSrAX7KwB0lt3zsw7CAAAAZMGFgAMAAAEAwBHMEUCIE23J1ObAKpN9wJhg21izZgYmG6sWvtiZZ1fURB38ovIAiEAvUoOZhKcwM/1dC0eqdtyupo1eQnn0gfGyRAMkuAdT/AwDQYJKoZIhvcNAQELBQADggEBAH/aF3B5dNeWhUc/9jiN7QVKAbcPG27tfUk3I7YFJzQ3pimBJbzn2hzPXDDdmqwrRQ8I64NoFufTvEj89w8iX+QCjOtCbUlXmKnwmsuO1lpYmYkMdTEdFlm4EWrx4ligsO9n23vhcjl/spEDvS4VoaZF6tBbGc87TxIU8La1HRVqCficg3LABi60S//C2b3+0x7DFxZOs7IRi4kyXCqBz/NBdNS3LA5oRExwL4t4v1TodfUShRPH21JAjyr0wGLxFRuYlUVMzB7sRQUBmACvymwnMfa2vWuUr4cFCVbtyGmoEM1wNZzzgd6gSmcTcAl6Xe3dB61wehwsxaUnwcdVeCM=\n-----END CERTIFICATE-----","",""
"cert_commonName","oilhi.beta.gouv.fr/34.149.87.45","443","OK","oilhi.beta.gouv.fr","",""
"cert_commonName_wo_SNI","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","oilhi.beta.gouv.fr www.oilhi.beta.gouv.fr","",""
"cert_trust","oilhi.beta.gouv.fr/34.149.87.45","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","oilhi.beta.gouv.fr/34.149.87.45","443","OK","passed.","",""
"cert_certificatePolicies_EV","oilhi.beta.gouv.fr/34.149.87.45","443","INFO","no","",""
