"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","potentiel.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"SSLv3","potentiel.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"TLS1","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_2","potentiel.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"TLS1_3","potentiel.beta.gouv.fr/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","potentiel.beta.gouv.fr/185.21.194.105","443","OK","h2","",""
"ALPN","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","potentiel.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","potentiel.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","potentiel.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","potentiel.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG_FS","potentiel.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"cipher_order-tls1_2","potentiel.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"cipherorder_TLSv1_2","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","potentiel.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"FS","potentiel.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"FS_ciphers","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","potentiel.beta.gouv.fr/185.21.194.105","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","yes","",""
"sessionresumption_ticket","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"sessionresumption_ID","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"TLS_timestamp","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","random","",""
"certificate_compression","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
"clientAuth","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
"cert_numbers","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","1","",""
"cert_signatureAlgorithm","potentiel.beta.gouv.fr/185.21.194.105","443","OK","SHA256 with RSA","",""
"cert_keySize","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","041B665E65980ADE7C33E4F11428D95C70BF","",""
"cert_serialNumberLen","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","18","",""
"cert_fingerprintSHA1","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","2ACEFFFB3A81314BCA6AE0C197A7B514A22DFC9E","",""
"cert_fingerprintSHA256","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","EAE4752B6CBF0436D7FD996E8F24555799338A15EAC2CCDB8F8FCC3F2F471ED1","",""
"cert","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE/DCCA+SgAwIBAgISBBtmXmWYCt58M+TxFCjZXHC/MA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTEwHhcNMjQwNzA0MDUyMDEyWhcNMjQxMDAyMDUyMDExWjAhMR8wHQYDVQQDExZwb3RlbnRpZWwuYmV0YS5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtpXtdfmQC1RoS5ifZ6NRA1+hoUb3TQ2LzQ+SJ94zbSUg9R3mv2RJR3ADNqIGKvoBLJpBAIBuKre/qz7sSvCu67tOkdvnC4Qu2Koo9b32s2951HoIFD2aFh83qEGRbhmj4QouuDPH/7Wnb2pTeHmMDwAfBcSAh/Ko2C5maglWeNjZbqFRiV2lRzqNtyIxcmn6peQYyf8XPncrX1IrvDKP63f1Em6pLHx1aCjy6SvN5zkPD4rTB7tlE1rSoa3Bi/lEnr/nGz04/s7rF4VbVHNFzVjr3HT1X8nxFh5N23D6eOZqgUWx/iORIJikeLroNmwgh/zAcPd5iPbLQ3p2wEapUwIDAQABo4ICGjCCAhYwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBTP60K8at6xgX0dX8jdVUvJlQ8CljAfBgNVHSMEGDAWgBTFz0ak6vTDwHpslcQtsF6SLybjuTBXBggrBgEFBQcBAQRLMEkwIgYIKwYBBQUHMAGGFmh0dHA6Ly9yMTEuby5sZW5jci5vcmcwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTEuaS5sZW5jci5vcmcvMCEGA1UdEQQaMBiCFnBvdGVudGllbC5iZXRhLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwggEEBgorBgEEAdZ5AgQCBIH1BIHyAPAAdgA/F0tP1yJHWJQdZRyEvg0S7ZA3fx+FauvBvyiF7PhkbgAAAZB8ZohiAAAEAwBHMEUCIHwn/YhH044Zle60dXHuTIbJyj2qFp+emcM37+bEXYudAiEAuulryFfsmUdTLXfn/u04F1rgeYGkxYP56z7HepCl3QYAdgDf4VbrqgWvtZwPhnGNqMAyTq5W2W6n9aVqAdHBO75SXAAAAZB8Zok9AAAEAwBHMEUCIGn6pUhJ4eyqiRkd8SB7C6/MnMSmysSyic/Y0OFC+QG0AiEAzrEOxy+4fSzJsA0mVfS8Vrf5pAnhHhZ+GhBkXGtv8jIwDQYJKoZIhvcNAQELBQADggEBAFz4KPMs0EYUOcRnkVT6Uz5dV981eljV/+c7sWqraZ1cIeF6YRL7BkP8RTAlH/BFxx/EdfEuVjYp5UeBxEZSFNHeQ5p1Eb0KMPz6TqdUDKSqun0vGe3Mz9TPwvTqSiIc9OdvBmxF3dX39j18hPa18dWUFEqwwqUZ/QqBspi74tDrcum5xqTVAszQVRPxzy78aP4QQMXASs8GyYyOqSawPWlaxLUuW5toNWrgMiHCTaYZUncb7yW3F/6UJcsYqWUHperorsioCjDCSCpNXpxR+ZKUObM1vC2zLdiDEg2I+rs6nzUE+zbkIUzPrlmsBTXt5WNLn7k1fBWDvBEZkZ+4FUM=\n-----END CERTIFICATE-----","",""
"cert_commonName","potentiel.beta.gouv.fr/185.21.194.105","443","OK","potentiel.beta.gouv.fr","",""
"cert_commonName_wo_SNI","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","*.osc-secnum-fr1.scalingo.io","",""
"cert_subjectAltName","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","potentiel.beta.gouv.fr","",""
"cert_trust","potentiel.beta.gouv.fr/185.21.194.105","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","potentiel.beta.gouv.fr/185.21.194.105","443","OK","passed.","",""
"cert_certificatePolicies_EV","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","no","",""
"cert_expirationStatus","potentiel.beta.gouv.fr/185.21.194.105","443","OK","73 >= 30 days","",""
"cert_notBefore","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","2024-07-04 05:20","",""
"cert_notAfter","potentiel.beta.gouv.fr/185.21.194.105","443","OK","2024-10-02 05:20","",""
"cert_extlifeSpan","potentiel.beta.gouv.fr/185.21.194.105","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","not present","",""
"cert_crlDistributionPoints","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","--","",""
"cert_ocspURL","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","http://r11.o.lencr.org","",""
"OCSP_stapling","potentiel.beta.gouv.fr/185.21.194.105","443","LOW","not offered","",""
"cert_mustStapleExtension","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","--","",""
"DNS_CAArecord","potentiel.beta.gouv.fr/185.21.194.105","443","LOW","--","",""
"certificate_transparency","potentiel.beta.gouv.fr/185.21.194.105","443","OK","yes (certificate extension)","",""
"certs_countServer","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","2","",""
"certs_list_ordering_problem","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","no","",""
"cert_caIssuers","potentiel.beta.gouv.fr/185.21.194.105","443","INFO","R11 (Let's Encrypt from US)","",""
