"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","HTTP","",""
"pre_128cipher","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","No 128 cipher limit bug","",""
"SSLv2","proprietaire.dossierfacile.fr/148.253.96.193","443","OK","not offered","",""
"SSLv3","proprietaire.dossierfacile.fr/148.253.96.193","443","OK","not offered","",""
"TLS1","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","not offered","",""
"TLS1_1","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","not offered","",""
"TLS1_2","proprietaire.dossierfacile.fr/148.253.96.193","443","OK","offered","",""
"TLS1_3","proprietaire.dossierfacile.fr/148.253.96.193","443","OK","offered with final","",""
"ALPN_HTTP2","proprietaire.dossierfacile.fr/148.253.96.193","443","OK","h2","",""
"ALPN","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","http/1.1","",""
"cipherlist_NULL","proprietaire.dossierfacile.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","proprietaire.dossierfacile.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","proprietaire.dossierfacile.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_LOW","proprietaire.dossierfacile.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","not offered","",""
"cipherlist_STRONG_FS","proprietaire.dossierfacile.fr/148.253.96.193","443","OK","offered","",""
"cipher_order-tls1_2","proprietaire.dossierfacile.fr/148.253.96.193","443","OK","server","",""
"cipherorder_TLSv1_2","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","proprietaire.dossierfacile.fr/148.253.96.193","443","OK","server","",""
"FS","proprietaire.dossierfacile.fr/148.253.96.193","443","OK","offered","",""
"FS_ciphers","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","proprietaire.dossierfacile.fr/148.253.96.193","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","proprietaire.dossierfacile.fr/148.253.96.193","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","yes","",""
"sessionresumption_ticket","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","not supported","",""
"sessionresumption_ID","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","not supported","",""
"TLS_timestamp","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","random","",""
"certificate_compression","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","none","",""
"clientAuth","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","none","",""
"cert_numbers","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","1","",""
"cert_signatureAlgorithm","proprietaire.dossierfacile.fr/148.253.96.193","443","OK","SHA256 with RSA","",""
"cert_keySize","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","05AF2200C8338A00C6AE430731401F3E624C","",""
"cert_serialNumberLen","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","18","",""
"cert_fingerprintSHA1","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","C59CE2B37D8C55D43282C2EDEA20DBAF60B13A6C","",""
"cert_fingerprintSHA256","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","D5106E4E596341B60A5EC4E1E034001D46E02653649175B1A89DF35513988818","",""
"cert","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFFTCCA/2gAwIBAgISBa8iAMgzigDGrkMHMUAfPmJMMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTMwHhcNMjYwNTAzMTE0OTM5WhcNMjYwODAxMTE0OTM4WjAoMSYwJAYDVQQDEx1wcm9wcmlldGFpcmUuZG9zc2llcmZhY2lsZS5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAL0/srb9nh2y2xmxKgpOPYaQE12TFdocwjtrciKhvy1ZHPz/Jj9fRx0qFrEjUFoRFAcqyGgah9PoZ+ijgNf4vxgHgzP0I+6heuopXhTj6rEkGlZorG4T/OEMDB1kKQ6ChH71d91wxS6bVOjMTizwdfTzs0lT1w214JRxop+Xf3OKYaYniY1mlRkIxQHiKb8L5qJgr69AgZvcwVwrnutNkSHeNX5qxWdweYiT9FocD4IY5aM+eynH9BVLh7yV4mH+2dBGHT50uX5RZgsy+mTtTRMbRNk3U4kszj0YfjP4WYI+dg5sOTNZhO5lP7eVmaT2+IIt39XdgYukaJ3PDCLF9gECAwEAAaOCAiwwggIoMA4GA1UdDwEB/wQEAwIFoDATBgNVHSUEDDAKBggrBgEFBQcDATAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBQuGN5+QLMTW9+wzizma7phGM6+0DAfBgNVHSMEGDAWgBTnq58PLDOgU9NeT3jIsoQOO9aSMzAzBggrBgEFBQcBAQQnMCUwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTMuaS5sZW5jci5vcmcvMCgGA1UdEQQhMB+CHXByb3ByaWV0YWlyZS5kb3NzaWVyZmFjaWxlLmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC4GA1UdHwQnMCUwI6AhoB+GHWh0dHA6Ly9yMTMuYy5sZW5jci5vcmcvNzcuY3JsMIIBDQYKKwYBBAHWeQIEAgSB/gSB+wD5AHYA1219ENGn9XfCx+lf1wC/+YLJM1pl4dCzAXMXwMjFaXcAAAGd7eHEFgAABAMARzBFAiARFsJEjvg57zub8NbEfaqoSsdkQPWJxkiJLTgonJZxzQIhAI2D95xEWNv359t8KV/31kn/rJGrJQwzQCIjydRLw5v9AH8AGoudaw/+v4G0eTnG0jEKhtbRAtTwRuIYLJ3jX14mJe8AAAGd7eHF5QAIAAAFAA5vn14EAwBIMEYCIQDvN6As/SKVH6YZPtyrrZxmEeLUN47wOjegWpdW7FkGfAIhAPvSWSsH791lfAxxqJZxIYXU1d+6xhf/PiaRfaKGlikNMA0GCSqGSIb3DQEBCwUAA4IBAQA70NURv+y0WMn2TeQlh1KMPIgHOhwNpvS5fLK6v1uZYeLy8ORMWBBdRW+gNirAW+dlkMpcf/mC5UrhkV+fHjDB2UZstC2S3vHWmGoUtHn27vqvLdtIOhUekBCMTRPJPRY9alR5PN6cHREn8HS0G4RAHCIKGzfcmDML5lENafiSv54w7zbn11pqoxJ9PbY7+/ez2eu9K+Jg/1WntiPC43nweLMraUpr36oQ/pXzM/zqb3daW3eZPA+Ld5pSqAJx1eZcg5wEMPYTWcLzIN2sIAsrjdTldir1Oe4QSaPDhwSuA8V/rwHkb47AX4LoiqQMb1SbLhtSeXn3tHnqBdh767ll\n-----END CERTIFICATE-----","",""
"cert_commonName","proprietaire.dossierfacile.fr/148.253.96.193","443","OK","proprietaire.dossierfacile.fr","",""
"cert_commonName_wo_SNI","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","*.osc-secnum-fr1.scalingo.io","",""
"cert_subjectAltName","proprietaire.dossierfacile.fr/148.253.96.193","443","INFO","proprietaire.dossierfacile.fr","",""
"cert_trust","proprietaire.dossierfacile.fr/148.253.96.193","443","OK","Ok via SAN and CN (SNI mandatory)","",""
