"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","proprietaire.dossierfacile.fr/185.21.194.105","443","OK","not offered","",""
"SSLv3","proprietaire.dossierfacile.fr/185.21.194.105","443","OK","not offered","",""
"TLS1","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_2","proprietaire.dossierfacile.fr/185.21.194.105","443","OK","offered","",""
"TLS1_3","proprietaire.dossierfacile.fr/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","proprietaire.dossierfacile.fr/185.21.194.105","443","OK","h2","",""
"ALPN","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","proprietaire.dossierfacile.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","proprietaire.dossierfacile.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","proprietaire.dossierfacile.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","proprietaire.dossierfacile.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","proprietaire.dossierfacile.fr/185.21.194.105","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG","proprietaire.dossierfacile.fr/185.21.194.105","443","OK","offered","",""
"cipher_order-tls1_2","proprietaire.dossierfacile.fr/185.21.194.105","443","OK","server","",""
"cipherorder_TLSv1_2","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","proprietaire.dossierfacile.fr/185.21.194.105","443","OK","server","",""
"protocol_negotiated","proprietaire.dossierfacile.fr/185.21.194.105","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","proprietaire.dossierfacile.fr/185.21.194.105","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"FS","proprietaire.dossierfacile.fr/185.21.194.105","443","OK","offered","",""
"FS_ciphers","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","proprietaire.dossierfacile.fr/185.21.194.105","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","yes","",""
"sessionresumption_ticket","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","not supported","",""
"sessionresumption_ID","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","not supported","",""
"TLS_timestamp","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","random","",""
"certificate_compression","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","none","",""
"clientAuth","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","none","",""
"cert_numbers","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","1","",""
"cert_signatureAlgorithm","proprietaire.dossierfacile.fr/185.21.194.105","443","OK","SHA256 with RSA","",""
"cert_keySize","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","040BCE064A40BE694929FEC9736939C22CC3","",""
"cert_serialNumberLen","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","18","",""
"cert_fingerprintSHA1","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","DA4DF356BAF8ECD8A9A4A4E5214523346217D43F","",""
"cert_fingerprintSHA256","proprietaire.dossierfacile.fr/185.21.194.105","443","INFO","4249C60F4FD14F28E86A249F71702B0567E3353C804D7627BBF400D620DC6C88","",""
