"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","stop-punaises.beta.gouv.fr/5.104.101.30","443","INFO","HTTP","",""
"pre_128cipher","stop-punaises.beta.gouv.fr/5.104.101.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","stop-punaises.beta.gouv.fr/5.104.101.30","443","OK","not offered","",""
"SSLv3","stop-punaises.beta.gouv.fr/5.104.101.30","443","OK","not offered","",""
"TLS1","stop-punaises.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_1","stop-punaises.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_2","stop-punaises.beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"TLS1_3","stop-punaises.beta.gouv.fr/5.104.101.30","443","OK","offered with final","",""
"ALPN_HTTP2","stop-punaises.beta.gouv.fr/5.104.101.30","443","OK","h2","",""
"ALPN","stop-punaises.beta.gouv.fr/5.104.101.30","443","INFO","http/1.1","",""
"cipherlist_NULL","stop-punaises.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","stop-punaises.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","stop-punaises.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","stop-punaises.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","stop-punaises.beta.gouv.fr/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","stop-punaises.beta.gouv.fr/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","stop-punaises.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"cipherlist_STRONG_FS","stop-punaises.beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"cipher_order-tls1_2","stop-punaises.beta.gouv.fr/5.104.101.30","443","OK","server","",""
"cipherorder_TLSv1_2","stop-punaises.beta.gouv.fr/5.104.101.30","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","stop-punaises.beta.gouv.fr/5.104.101.30","443","OK","server","",""
"FS","stop-punaises.beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"FS_ciphers","stop-punaises.beta.gouv.fr/5.104.101.30","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
